date,n_bars,dup_ts,bad_ohlc,has_0845,has_1000,has_1344,has_1345,first,last
2023-08-14,301,0,0,True,True,True,True,08:45,13:45
2023-08-15,300,0,0,True,True,True,False,08:45,13:44
2023-08-16,300,0,0,True,True,True,False,08:45,13:44
2023-08-17,300,0,0,True,True,True,False,08:45,13:44
2023-08-18,300,0,0,True,True,True,False,08:45,13:44
2023-08-21,301,0,0,True,True,True,True,08:45,13:45
2023-08-22,301,0,0,True,True,True,True,08:45,13:45
2023-08-23,300,0,0,True,True,True,False,08:45,13:44
2023-08-24,300,0,0,True,True,True,False,08:45,13:44
2023-08-25,300,0,0,True,True,True,False,08:45,13:44
2023-08-28,300,0,0,True,True,True,False,08:45,13:44
2023-08-29,300,0,0,True,True,True,False,08:45,13:44
2023-08-30,300,0,0,True,True,True,False,08:45,13:44
2023-08-31,300,0,0,True,True,True,False,08:45,13:44
2023-09-01,300,0,0,True,True,True,False,08:45,13:44
2023-09-04,300,0,0,True,True,True,False,08:45,13:44
2023-09-05,300,0,0,True,True,True,False,08:45,13:44
2023-09-06,300,0,0,True,True,True,False,08:45,13:44
2023-09-07,300,0,0,True,True,True,False,08:45,13:44
2023-09-08,300,0,0,True,True,True,False,08:45,13:44
2023-09-11,300,0,0,True,True,True,False,08:45,13:44
2023-09-12,300,0,0,True,True,True,False,08:45,13:44
2023-09-13,300,0,0,True,True,True,False,08:45,13:44
2023-09-14,300,0,0,True,True,True,False,08:45,13:44
2023-09-15,300,0,0,True,True,True,False,08:45,13:44
2023-09-18,300,0,0,True,True,True,False,08:45,13:44
2023-09-19,300,0,0,True,True,True,False,08:45,13:44
2023-09-20,300,0,0,True,True,True,False,08:45,13:44
2023-09-21,300,0,0,True,True,True,False,08:45,13:44
2023-09-22,300,0,0,True,True,True,False,08:45,13:44
2023-09-25,300,0,0,True,True,True,False,08:45,13:44
2023-09-26,301,0,0,True,True,True,True,08:45,13:45
2023-09-27,300,0,0,True,True,True,False,08:45,13:44
2023-09-28,300,0,0,True,True,True,False,08:45,13:44
2023-10-02,300,0,0,True,True,True,False,08:45,13:44
2023-10-03,300,0,0,True,True,True,False,08:45,13:44
2023-10-04,300,0,0,True,True,True,False,08:45,13:44
2023-10-05,300,0,0,True,True,True,False,08:45,13:44
2023-10-06,300,0,0,True,True,True,False,08:45,13:44
2023-10-11,300,0,0,True,True,True,False,08:45,13:44
2023-10-12,300,0,0,True,True,True,False,08:45,13:44
2023-10-13,300,0,0,True,True,True,False,08:45,13:44
2023-10-16,300,0,0,True,True,True,False,08:45,13:44
2023-10-17,300,0,0,True,True,True,False,08:45,13:44
