date,pnl_a16,pnl_a19,bucket,_merge,diff
2023-08-15,,103.0,大漲>=2%,right_only,
2023-08-16,,-68.0,跌-2~-1%,right_only,
2023-08-21,,-72.0,小漲0~1%,right_only,
2023-08-22,,19.0,大漲>=2%,right_only,
2023-08-24,,-5.0,大漲>=2%,right_only,
2023-08-28,,22.0,小漲0~1%,right_only,
2023-08-29,,55.0,漲1~2%,right_only,
2023-08-30,,39.0,大漲>=2%,right_only,
2023-08-31,,-106.0,小漲0~1%,right_only,
2023-09-01,,53.0,小漲0~1%,right_only,
2023-09-04,,129.0,小漲0~1%,right_only,
2023-09-05,,13.0,小漲0~1%,right_only,
2023-09-06,,-51.0,小漲0~1%,right_only,
2023-09-08,,-76.0,跌-2~-1%,right_only,
2023-09-12,102.0,102.0,小漲0~1%,both,0.0
2023-09-14,163.0,163.0,小漲0~1%,both,0.0
2023-09-15,58.0,58.0,小漲0~1%,both,0.0
2023-09-19,-84.0,-84.0,小漲0~1%,both,0.0
2023-09-21,174.0,174.0,跌-2~-1%,both,0.0
2023-09-22,-146.0,-146.0,跌-2~-1%,both,0.0
2023-09-25,100.0,100.0,小漲0~1%,both,0.0
2023-09-26,-101.0,-102.0,小漲0~1%,both,1.0
2023-09-27,-71.0,-71.0,跌-2~-1%,both,0.0
2023-09-28,23.0,23.0,小漲0~1%,both,0.0
2023-10-02,35.0,35.0,小漲0~1%,both,0.0
2023-10-03,-86.0,-86.0,小漲0~1%,both,0.0
2023-10-05,156.0,156.0,漲1~2%,both,0.0
2023-10-11,-87.0,-87.0,漲1~2%,both,0.0
2023-10-12,75.0,75.0,小漲0~1%,both,0.0
2023-10-13,19.0,19.0,小漲0~1%,both,0.0
2023-10-17,-105.0,-105.0,漲1~2%,both,0.0
2023-10-19,-111.0,-111.0,跌-2~-1%,both,0.0
2023-10-20,40.0,40.0,跌-2~-1%,both,0.0
2023-10-23,90.0,90.0,跌-2~-1%,both,0.0
2023-10-25,-11.0,-11.0,漲1~2%,both,0.0
2023-10-30,44.0,44.0,漲1~2%,both,0.0
2023-10-31,189.0,189.0,跌-2~-1%,both,0.0
2023-11-01,-47.0,-47.0,小漲0~1%,both,0.0
2023-11-02,-46.0,-46.0,大漲>=2%,both,0.0
2023-11-03,-14.0,-14.0,大漲>=2%,both,0.0
2023-11-06,18.0,18.0,大漲>=2%,both,0.0
2023-11-08,18.0,18.0,小漲0~1%,both,0.0
2023-11-09,53.0,53.0,小漲0~1%,both,0.0
2023-11-13,20.0,20.0,大漲>=2%,both,0.0
2023-11-15,-12.0,-12.0,大漲>=2%,both,0.0
2023-11-16,-15.0,-15.0,小漲0~1%,both,0.0
2023-11-17,64.0,64.0,小漲0~1%,both,0.0
2023-11-20,-26.0,-26.0,小漲0~1%,both,0.0
2023-11-21,125.0,125.0,漲1~2%,both,0.0
2023-11-22,14.0,14.0,跌-2~-1%,both,0.0
2023-11-23,36.0,36.0,小漲0~1%,both,0.0
2023-11-24,-48.0,-47.0,小漲0~1%,both,-1.0
2023-11-27,-90.0,-90.0,小漲0~1%,both,0.0
2023-11-30,-8.0,-8.0,小漲0~1%,both,0.0
2023-12-04,-50.0,-50.0,小漲0~1%,both,0.0
2023-12-05,-31.0,-31.0,跌-2~-1%,both,0.0
2023-12-08,16.0,16.0,大漲>=2%,both,0.0
2023-12-11,-18.0,-18.0,小漲0~1%,both,0.0
2023-12-12,24.0,21.0,大漲>=2%,both,3.0
2023-12-13,-40.0,-44.0,小漲0~1%,both,4.0
2023-12-14,62.0,59.0,漲1~2%,both,3.0
2023-12-15,66.0,66.0,大漲>=2%,both,0.0
2023-12-18,-13.0,-13.0,小漲0~1%,both,0.0
2023-12-20,66.0,66.0,小漲0~1%,both,0.0
2023-12-22,7.0,7.0,大漲>=2%,both,0.0
2023-12-25,-14.0,-14.0,小漲0~1%,both,0.0
2023-12-26,82.0,83.0,小漲0~1%,both,-1.0
2023-12-27,97.0,97.0,漲1~2%,both,0.0
2023-12-28,11.0,11.0,小漲0~1%,both,0.0
2024-01-08,25.0,25.0,小漲0~1%,both,0.0
2024-01-09,69.0,69.0,大漲>=2%,both,0.0
2024-01-10,-54.0,-54.0,小漲0~1%,both,0.0
2024-01-12,14.0,14.0,小漲0~1%,both,0.0
2024-01-17,-108.0,-108.0,漲1~2%,both,0.0
2024-01-19,-99.0,-99.0,大漲>=2%,both,0.0
2024-01-22,-2.0,-2.0,大漲>=2%,both,0.0
2024-01-23,70.0,70.0,小漲0~1%,both,0.0
2024-01-24,-8.0,-8.0,小漲0~1%,both,0.0
2024-01-25,-29.0,-29.0,漲1~2%,both,0.0
2024-01-30,-53.0,-53.0,漲1~2%,both,0.0
2024-01-31,62.0,62.0,跌-2~-1%,both,0.0
2024-02-01,-13.0,-12.0,跌-2~-1%,both,-1.0
2024-02-02,-17.0,-17.0,小漲0~1%,both,0.0
2024-02-05,70.0,70.0,漲1~2%,both,0.0
2024-02-15,-95.0,-95.0,大漲>=2%,both,0.0
2024-02-21,59.0,59.0,跌-2~-1%,both,0.0
2024-02-23,39.0,39.0,大漲>=2%,both,0.0
2024-02-26,-51.0,-51.0,跌-2~-1%,both,0.0
2024-02-27,-90.0,-90.0,漲1~2%,both,0.0
2024-02-29,-157.0,-157.0,跌-2~-1%,both,0.0
2024-03-01,11.0,11.0,大漲>=2%,both,0.0
2024-03-04,-28.0,-28.0,大漲>=2%,both,0.0
2024-03-05,17.0,18.0,漲1~2%,both,-1.0
2024-03-07,-41.0,-42.0,大漲>=2%,both,1.0
2024-03-08,163.0,163.0,大漲>=2%,both,0.0
2024-03-12,-244.0,-246.0,跌-2~-1%,both,2.0
2024-03-13,25.0,25.0,大漲>=2%,both,0.0
2024-03-15,99.0,99.0,跌-2~-1%,both,0.0
2024-03-21,220.0,220.0,漲1~2%,both,0.0
2024-03-22,-72.0,-74.0,大漲>=2%,both,2.0
2024-03-25,-26.0,-26.0,小漲0~1%,both,0.0
2024-03-28,-38.0,-38.0,小漲0~1%,both,0.0
2024-03-29,57.0,57.0,小漲0~1%,both,0.0
2024-04-01,-107.0,-107.0,小漲0~1%,both,0.0
2024-04-02,165.0,165.0,漲1~2%,both,0.0
2024-04-03,22.0,22.0,跌-2~-1%,both,0.0
2024-04-08,44.0,44.0,漲1~2%,both,0.0
2024-04-09,332.0,331.0,小漲0~1%,both,1.0
2024-04-10,27.0,27.0,小漲0~1%,both,0.0
2024-04-11,-49.0,-49.0,跌-2~-1%,both,0.0
2024-04-12,-17.0,-17.0,大漲>=2%,both,0.0
2024-04-16,337.0,337.0,跌-2~-1%,both,0.0
2024-04-17,213.0,213.0,小漲0~1%,both,0.0
2024-04-19,315.0,312.0,跌-2~-1%,both,3.0
2024-04-23,30.0,30.0,漲1~2%,both,0.0
2024-04-24,-47.0,-51.0,大漲>=2%,both,4.0
2024-04-25,-64.0,-64.0,漲1~2%,both,0.0
2024-04-26,49.0,49.0,漲1~2%,both,0.0
2024-04-29,-1.0,-1.0,大漲>=2%,both,0.0
2024-04-30,-90.0,-90.0,小漲0~1%,both,0.0
2024-05-03,81.0,81.0,大漲>=2%,both,0.0
2024-05-06,81.0,81.0,大漲>=2%,both,0.0
2024-05-07,-17.0,-17.0,大漲>=2%,both,0.0
2024-05-09,-110.0,-111.0,小漲0~1%,both,1.0
2024-05-13,-58.0,-58.0,漲1~2%,both,0.0
2024-05-14,127.0,127.0,小漲0~1%,both,0.0
2024-05-15,54.0,54.0,漲1~2%,both,0.0
2024-05-16,104.0,104.0,大漲>=2%,both,0.0
