era,variant,n_days,note,n_active,total,mean_daily,ci_lo,ci_hi,nw_se,mdd,pair_n,pair_diff,pair_ci_lo,pair_ci_hi,diff_ex_bestyr
modern,absorption,731,beta=0.335 corr=0.670 median|gap|=0.583%,,,,,,,,,,,,
modern,gapfilter_0.5%,732,skipped=142/491,349.0,11750.0,16.05,7.55,25.12,4.42,-1225.0,732.0,-4705.0,-15.78,1.82,-4937.0
modern,gapfilter_1.0%,732,skipped=61/491,430.0,11118.0,15.19,6.39,24.34,4.64,-1950.0,732.0,-5337.0,-15.75,-0.02,-5465.0
modern,delay1bar_slip1,732,,491.0,16241.0,22.19,9.05,36.76,6.99,-1860.0,732.0,-214.0,-3.13,2.66,-686.0
modern,delay1bar_slip2,732,,491.0,16161.0,22.08,8.93,36.66,6.99,-1878.0,732.0,-294.0,-3.26,2.55,-732.0
hist,absorption,4440,beta=-0.000 corr=-0.002 median|gap|=0.000%,,,,,,,,,,,,
hist,gapfilter_0.5%,4441,skipped=0/2931,2931.0,57451.0,12.94,11.2,14.84,0.94,-901.0,4441.0,0.0,0.0,0.0,0.0
hist,gapfilter_1.0%,4441,skipped=0/2931,2931.0,57451.0,12.94,11.2,14.84,0.94,-901.0,4441.0,0.0,0.0,0.0,0.0
hist,delay1bar_slip1,4441,,2931.0,-7234.0,-1.63,-3.0,-0.19,0.73,-8075.0,4441.0,-64685.0,-15.84,-13.24,-62732.0
hist,delay1bar_slip2,4441,,2931.0,-7884.0,-1.78,-3.15,-0.33,0.74,-8707.0,4441.0,-65335.0,-15.99,-13.39,-63316.0
