variant,era,n_days,n_active,total,mean_daily,ci_lo,ci_hi,nw_se,mdd,pair_n,pair_diff,pair_ci_lo,pair_ci_hi,diff_ex_bestyr,breakeven_cost
base_v3SL_gap,modern,732.0,491.0,16455.0,22.48,9.43,37.09,7.03,-2056.0,,,,,,
R1_drop_大漲,modern,732.0,352.0,9587.0,13.1,2.54,24.62,5.57,-1903.0,732.0,-6868.0,-16.67,-2.73,-6636.0,
R1_drop_跌,modern,732.0,422.0,14530.0,19.85,8.06,33.28,6.48,-1335.0,732.0,-1925.0,-8.54,2.46,-1980.0,
R1_drop_小漲,modern,732.0,330.0,13367.0,18.26,8.17,29.66,5.49,-1672.0,732.0,-3088.0,-10.73,1.4,-3337.0,
R1_drop_漲,modern,732.0,369.0,11881.0,16.23,5.05,29.12,6.01,-2147.0,732.0,-4574.0,-12.76,0.13,-4282.0,
R2_volstop_k0.5,modern,732.0,491.0,15217.0,20.79,7.46,35.71,7.18,-2357.0,732.0,-1238.0,-4.81,1.19,-1247.0,
R2_volstop_k1.0,modern,732.0,491.0,16399.0,22.4,8.34,38.34,7.72,-3131.0,732.0,-56.0,-4.67,4.42,-102.0,
R3_t1_0.75,modern,732.0,524.0,15553.0,21.25,7.65,35.94,7.14,-2509.0,732.0,-902.0,-3.23,0.61,-1035.0,
R3_t1_1.25,modern,732.0,475.0,17723.0,24.21,10.96,38.94,7.13,-1578.0,732.0,1268.0,-0.1,3.94,223.0,
R3_t2_1.75,modern,732.0,470.0,15575.0,21.28,8.59,35.33,6.87,-1898.0,732.0,-880.0,-4.89,2.45,-1177.0,
R3_t2_2.25,modern,732.0,505.0,14340.0,19.59,6.02,34.2,7.22,-2326.0,732.0,-2115.0,-9.92,3.21,-2564.0,
R3_sl_0.65,modern,732.0,491.0,16823.0,22.98,10.12,37.89,6.97,-1788.0,732.0,368.0,-1.69,2.39,-305.0,
R3_sl_0.85,modern,732.0,491.0,15480.0,21.15,7.72,35.81,7.07,-2823.0,732.0,-975.0,-2.69,0.06,-1060.0,
R4_cost2,modern,,491.0,16455.0,22.48,,,,-2056.0,,,,,,35.5
R4_cost4,modern,,491.0,15473.0,21.14,,,,-2190.0,,,,,,35.5
R4_cost6,modern,,491.0,14491.0,19.8,,,,-2324.0,,,,,,35.5
R4_cost8,modern,,491.0,13509.0,18.45,,,,-2458.0,,,,,,35.5
R5_delay1bar,modern,732.0,491.0,16321.0,22.3,9.18,36.85,6.98,-1842.0,732.0,-134.0,-3.02,2.78,-640.0,
base_ci_block5,modern,,,,,9.89,35.66,,,,,,,,
base_ci_block20,modern,,,,,10.77,37.32,,,,,,,,
base_v3SL_gap,hist,4441.0,2931.0,57451.0,12.94,11.2,14.84,0.94,-901.0,,,,,,
R1_drop_小漲,hist,4441.0,1745.0,41383.0,9.32,7.77,10.95,0.78,-701.0,4441.0,-16068.0,-4.76,-2.54,-16876.0,
R1_drop_跌,hist,4441.0,2344.0,39777.0,8.96,7.59,10.47,0.77,-891.0,4441.0,-17674.0,-5.1,-2.94,-17547.0,
R1_drop_漲,hist,4441.0,2280.0,37271.0,8.39,6.76,10.08,0.84,-871.0,4441.0,-20179.0,-5.41,-3.73,-19765.0,
R1_drop_大漲,hist,4441.0,2424.0,53921.0,12.14,10.56,13.86,0.87,-633.0,4441.0,-3530.0,-1.46,-0.17,-4151.0,
R2_volstop_k0.5,hist,4441.0,2931.0,58729.0,13.22,11.52,15.08,0.91,-1070.0,4441.0,1279.0,-0.16,0.68,854.0,
R2_volstop_k1.0,hist,4441.0,2931.0,55936.0,12.6,10.76,14.52,0.98,-1262.0,4441.0,-1514.0,-0.81,0.15,-1681.0,
R3_t1_0.75,hist,4441.0,3145.0,60567.0,13.64,11.81,15.65,0.98,-1008.0,4441.0,3116.0,0.25,1.19,2343.0,
R3_t1_1.25,hist,4441.0,2738.0,52394.0,11.8,10.24,13.55,0.86,-889.0,4441.0,-5057.0,-1.75,-0.56,-5168.0,
R3_t2_1.75,hist,4441.0,2822.0,48602.0,10.94,9.27,12.78,0.91,-808.0,4441.0,-8849.0,-2.78,-1.19,-8904.0,
R3_t2_2.25,hist,4441.0,3011.0,66996.0,15.09,13.18,17.05,0.99,-889.0,4441.0,9545.0,1.26,3.07,7555.0,
R3_sl_0.65,hist,4441.0,2931.0,57890.0,13.04,11.28,14.94,0.93,-785.0,4441.0,439.0,-0.26,0.41,85.0,
R3_sl_0.85,hist,4441.0,2931.0,56439.0,12.71,10.96,14.63,0.95,-1086.0,4441.0,-1011.0,-0.46,0.03,-1062.0,
R4_cost2,hist,,2931.0,51589.0,11.62,,,,-943.0,,,,,,19.6
R4_cost4,hist,,2931.0,45727.0,10.3,,,,-987.0,,,,,,19.6
R4_cost6,hist,,2931.0,39865.0,8.98,,,,-1031.0,,,,,,19.6
R4_cost8,hist,,2931.0,34003.0,7.66,,,,-1075.0,,,,,,19.6
R5_delay1bar,hist,4441.0,2931.0,-6584.0,-1.48,-2.85,-0.04,0.73,-7443.0,4441.0,-64035.0,-15.69,-13.09,-62148.0,
base_ci_block5,hist,,,,,11.09,14.83,,,,,,,,
base_ci_block20,hist,,,,,11.05,14.85,,,,,,,,
