date,yr,bucket,status,entry,dir,pnl_nosl_ideal,how_nosl_ideal,pnl_sl_ideal,how_sl_ideal,pnl_sl_gap0,how_sl_gap0,pnl_sl_gap_slip,how_sl_gap_slip
2005-01-03,2005,小漲0~1%,active,6139.69,1.0,3.430000000000291,close,3.430000000000291,close,3.430000000000291,close,3.430000000000291,close
2005-01-04,2005,大跌<-2%,flat,,,,,,,,,,
2005-01-05,2005,大跌<-2%,flat,,,,,,,,,,
2005-01-06,2005,跌-2~-1%,active,5988.37,-1.0,6.25,close,6.25,close,6.25,close,6.25,close
2005-01-07,2005,小跌-1~0,flat,,,,,,,,,,
2005-01-10,2005,漲1~2%,active,5935.99,1.0,6.860000000000582,close,6.860000000000582,close,6.860000000000582,close,6.860000000000582,close
2005-01-11,2005,小跌-1~0,flat,,,,,,,,,,
2005-01-12,2005,大跌<-2%,flat,,,,,,,,,,
2005-01-13,2005,漲1~2%,active,5879.08,1.0,-25.140000000000327,close,-44.0931,stop,-46.039999999999964,stop_gap,-47.039999999999964,stop_gap
2005-01-14,2005,跌-2~-1%,active,5853.94,-1.0,-35.58000000000084,close,-35.58000000000084,close,-35.58000000000084,close,-35.58000000000084,close
2005-01-17,2005,漲1~2%,active,5889.52,1.0,55.75,close,55.75,close,55.75,close,55.75,close
2005-01-18,2005,漲1~2%,active,5945.27,1.0,-11.700000000000728,close,-11.700000000000728,close,-11.700000000000728,close,-11.700000000000728,close
2005-01-19,2005,小漲0~1%,active,5933.57,1.0,-38.219999999999345,close,-38.219999999999345,close,-38.219999999999345,close,-38.219999999999345,close
2005-01-20,2005,大跌<-2%,flat,,,,,,,,,,
2005-01-21,2005,小跌-1~0,flat,,,,,,,,,,
2005-01-24,2005,跌-2~-1%,active,5848.91,-1.0,77.43000000000029,close,77.43000000000029,close,77.43000000000029,close,77.43000000000029,close
2005-01-25,2005,跌-2~-1%,active,5771.48,-1.0,-11.270000000000437,close,-11.270000000000437,close,-11.270000000000437,close,-11.270000000000437,close
2005-01-26,2005,漲1~2%,active,5782.75,1.0,52.61999999999989,close,52.61999999999989,close,52.61999999999989,close,52.61999999999989,close
2005-01-27,2005,大漲>=2%,active,5821.58,-1.0,-21.18000000000029,close,-21.18000000000029,close,-21.18000000000029,close,-21.18000000000029,close
2005-01-28,2005,小漲0~1%,active,5842.76,1.0,37.17000000000007,close,37.17000000000007,close,37.17000000000007,close,37.17000000000007,close
2005-01-31,2005,跌-2~-1%,active,5879.93,-1.0,-114.29999999999927,close,-44.099475,stop,-49.55999999999949,stop_gap,-50.55999999999949,stop_gap
2005-02-01,2005,漲1~2%,active,5994.23,1.0,-12.6899999999996,close,-12.6899999999996,close,-12.6899999999996,close,-12.6899999999996,close
2005-02-02,2005,漲1~2%,active,5981.54,1.0,37.149999999999636,close,37.149999999999636,close,37.149999999999636,close,37.149999999999636,close
2005-02-03,2005,小跌-1~0,flat,,,,,,,,,,
2005-02-14,2005,大漲>=2%,active,6116.66,-1.0,4.260000000000218,close,4.260000000000218,close,4.260000000000218,close,4.260000000000218,close
2005-02-15,2005,小漲0~1%,active,6112.4,1.0,9.990000000000691,close,9.990000000000691,close,9.990000000000691,close,9.990000000000691,close
2005-02-16,2005,小漲0~1%,active,6122.39,1.0,21.099999999999454,close,21.099999999999454,close,21.099999999999454,close,21.099999999999454,close
2005-02-17,2005,小跌-1~0,flat,,,,,,,,,,
2005-02-18,2005,跌-2~-1%,active,6072.16,-1.0,-43.27000000000044,close,-45.541199999999996,stop,-45.88000000000011,stop_gap,-46.88000000000011,stop_gap
2005-02-21,2005,小跌-1~0,flat,,,,,,,,,,
2005-02-22,2005,小跌-1~0,flat,,,,,,,,,,
2005-02-23,2005,小跌-1~0,flat,,,,,,,,,,
2005-02-24,2005,小跌-1~0,flat,,,,,,,,,,
2005-02-25,2005,大漲>=2%,active,6196.19,-1.0,-11.640000000000327,close,-11.640000000000327,close,-11.640000000000327,close,-11.640000000000327,close
2005-03-01,2005,跌-2~-1%,active,6207.83,-1.0,-51.85999999999967,close,-46.558724999999995,stop,-48.73000000000047,stop_gap,-49.73000000000047,stop_gap
2005-03-02,2005,大漲>=2%,active,6265.72,-1.0,40.470000000000255,close,40.470000000000255,close,40.470000000000255,close,40.470000000000255,close
2005-03-03,2005,跌-2~-1%,active,6225.25,-1.0,22.86999999999989,close,22.86999999999989,close,22.86999999999989,close,22.86999999999989,close
2005-03-04,2005,跌-2~-1%,active,6202.38,-1.0,8.760000000000218,close,8.760000000000218,close,8.760000000000218,close,8.760000000000218,close
2005-03-07,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-08,2005,漲1~2%,active,6220.52,1.0,-47.18000000000029,close,-46.6539,stop,-48.410000000000764,stop_gap,-49.410000000000764,stop_gap
2005-03-09,2005,跌-2~-1%,active,6173.34,-1.0,-39.9399999999996,close,-46.30005,stop,-46.67000000000007,stop_gap,-47.67000000000007,stop_gap
2005-03-10,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-11,2005,漲1~2%,active,6192.53,1.0,11.699999999999818,close,11.699999999999818,close,11.699999999999818,close,11.699999999999818,close
2005-03-14,2005,大跌<-2%,flat,,,,,,,,,,
2005-03-15,2005,小漲0~1%,active,6155.51,1.0,-92.03000000000065,close,-46.166325,stop,-46.17000000000007,stop_gap,-47.17000000000007,stop_gap
2005-03-16,2005,大跌<-2%,flat,,,,,,,,,,
2005-03-17,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-18,2005,小漲0~1%,active,6032.47,1.0,11.479999999999563,close,11.479999999999563,close,11.479999999999563,close,11.479999999999563,close
2005-03-21,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-22,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-23,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-24,2005,漲1~2%,active,6019.49,1.0,-18.48999999999978,close,-18.48999999999978,close,-18.48999999999978,close,-18.48999999999978,close
2005-03-25,2005,小漲0~1%,active,6001.0,1.0,64.90999999999985,close,64.90999999999985,close,64.90999999999985,close,64.90999999999985,close
2005-03-28,2005,小漲0~1%,active,6065.91,1.0,-17.170000000000073,close,-17.170000000000073,close,-17.170000000000073,close,-17.170000000000073,close
2005-03-29,2005,小跌-1~0,flat,,,,,,,,,,
2005-03-30,2005,跌-2~-1%,active,5961.24,-1.0,3.2600000000002183,close,3.2600000000002183,close,3.2600000000002183,close,3.2600000000002183,close
2005-03-31,2005,大漲>=2%,active,6002.35,-1.0,-3.5299999999997453,close,-3.5299999999997453,close,-3.5299999999997453,close,-3.5299999999997453,close
2005-04-01,2005,小跌-1~0,flat,,,,,,,,,,
2005-04-04,2005,跌-2~-1%,active,6028.75,-1.0,8.819999999999709,close,8.819999999999709,close,8.819999999999709,close,8.819999999999709,close
2005-04-06,2005,小漲0~1%,active,6019.93,1.0,-6.440000000000509,close,-6.440000000000509,close,-6.440000000000509,close,-6.440000000000509,close
2005-04-07,2005,小漲0~1%,active,6013.49,1.0,-41.72999999999956,close,-41.72999999999956,close,-41.72999999999956,close,-41.72999999999956,close
2005-04-08,2005,漲1~2%,active,5971.76,1.0,52.30999999999949,close,52.30999999999949,close,52.30999999999949,close,52.30999999999949,close
2005-04-11,2005,小跌-1~0,flat,,,,,,,,,,
2005-04-12,2005,小跌-1~0,flat,,,,,,,,,,
2005-04-13,2005,小跌-1~0,flat,,,,,,,,,,
2005-04-14,2005,大跌<-2%,flat,,,,,,,,,,
2005-04-15,2005,跌-2~-1%,active,5976.68,-1.0,88.3100000000004,close,88.3100000000004,close,88.3100000000004,close,88.3100000000004,close
2005-04-18,2005,大跌<-2%,flat,,,,,,,,,,
2005-04-19,2005,小漲0~1%,active,5715.16,1.0,33.19000000000051,close,33.19000000000051,close,33.19000000000051,close,33.19000000000051,close
2005-04-20,2005,漲1~2%,active,5748.35,1.0,-55.340000000000146,close,-43.112625,stop,-45.910000000000764,stop_gap,-46.910000000000764,stop_gap
2005-04-21,2005,大跌<-2%,flat,,,,,,,,,,
2005-04-22,2005,大漲>=2%,active,5793.88,-1.0,46.789999999999964,close,46.789999999999964,close,46.789999999999964,close,46.789999999999964,close
2005-04-25,2005,跌-2~-1%,active,5747.09,-1.0,-11.220000000000255,close,-11.220000000000255,close,-11.220000000000255,close,-11.220000000000255,close
2005-04-26,2005,小漲0~1%,active,5758.31,1.0,46.9399999999996,close,46.9399999999996,close,46.9399999999996,close,46.9399999999996,close
2005-04-27,2005,小跌-1~0,flat,,,,,,,,,,
2005-04-28,2005,小跌-1~0,flat,,,,,,,,,,
2005-04-29,2005,小跌-1~0,flat,,,,,,,,,,
2005-05-03,2005,小跌-1~0,flat,,,,,,,,,,
2005-05-04,2005,小跌-1~0,flat,,,,,,,,,,
2005-05-05,2005,大漲>=2%,active,5887.83,-1.0,-39.67000000000007,close,-44.158725,stop,-44.56999999999971,stop_gap,-45.56999999999971,stop_gap
2005-05-06,2005,小跌-1~0,flat,,,,,,,,,,
2005-05-09,2005,小漲0~1%,active,5967.96,1.0,-1.1099999999996726,close,-1.1099999999996726,close,-1.1099999999996726,close,-1.1099999999996726,close
2005-05-10,2005,小漲0~1%,active,5966.85,1.0,-17.050000000000182,close,-17.050000000000182,close,-17.050000000000182,close,-17.050000000000182,close
2005-05-11,2005,跌-2~-1%,active,5949.8,-1.0,32.67000000000007,close,32.67000000000007,close,32.67000000000007,close,32.67000000000007,close
2005-05-12,2005,小漲0~1%,active,5917.13,1.0,17.470000000000255,close,17.470000000000255,close,17.470000000000255,close,17.470000000000255,close
2005-05-13,2005,小漲0~1%,active,5934.6,1.0,46.8799999999992,close,46.8799999999992,close,46.8799999999992,close,46.8799999999992,close
2005-05-16,2005,大漲>=2%,active,5959.47,-1.0,33.590000000000146,close,33.590000000000146,close,33.590000000000146,close,33.590000000000146,close
2005-05-17,2005,小漲0~1%,active,5925.88,1.0,-31.86999999999989,close,-44.4441,stop,-45.52000000000044,stop_gap,-46.52000000000044,stop_gap
2005-05-18,2005,小漲0~1%,active,5894.01,1.0,-3.180000000000291,close,-3.180000000000291,close,-3.180000000000291,close,-3.180000000000291,close
2005-05-19,2005,漲1~2%,active,5890.83,1.0,79.88000000000011,close,79.88000000000011,close,79.88000000000011,close,79.88000000000011,close
2005-05-20,2005,小漲0~1%,active,5970.71,1.0,-16.020000000000437,close,-16.020000000000437,close,-16.020000000000437,close,-16.020000000000437,close
2005-05-23,2005,漲1~2%,active,5954.69,1.0,-69.23999999999978,close,-44.660174999999995,stop,-46.11999999999989,stop_gap,-47.11999999999989,stop_gap
2005-05-24,2005,小跌-1~0,flat,,,,,,,,,,
2005-05-25,2005,漲1~2%,active,5909.1,1.0,-20.57000000000062,close,-20.57000000000062,close,-20.57000000000062,close,-20.57000000000062,close
2005-05-26,2005,跌-2~-1%,active,5888.53,-1.0,-50.89000000000033,close,-44.16397499999999,stop,-45.39000000000033,stop_gap,-46.39000000000033,stop_gap
2005-05-27,2005,漲1~2%,active,5939.42,1.0,52.13000000000011,close,52.13000000000011,close,52.13000000000011,close,52.13000000000011,close
2005-05-30,2005,小跌-1~0,flat,,,,,,,,,,
2005-05-31,2005,小跌-1~0,flat,,,,,,,,,,
2005-06-01,2005,小跌-1~0,flat,,,,,,,,,,
2005-06-02,2005,小漲0~1%,active,5971.62,1.0,67.85999999999967,close,67.85999999999967,close,67.85999999999967,close,67.85999999999967,close
2005-06-03,2005,漲1~2%,active,6039.48,1.0,68.47000000000025,close,68.47000000000025,close,68.47000000000025,close,68.47000000000025,close
2005-06-06,2005,跌-2~-1%,active,6107.95,-1.0,-29.61999999999989,close,-29.61999999999989,close,-29.61999999999989,close,-29.61999999999989,close
2005-06-07,2005,小跌-1~0,flat,,,,,,,,,,
2005-06-08,2005,跌-2~-1%,active,6105.79,-1.0,-55.86999999999989,close,-45.793425,stop,-46.73999999999978,stop_gap,-47.73999999999978,stop_gap
2005-06-09,2005,小漲0~1%,active,6161.66,1.0,-15.739999999999782,close,-15.739999999999782,close,-15.739999999999782,close,-15.739999999999782,close
2005-06-10,2005,漲1~2%,active,6145.92,1.0,46.43000000000029,close,46.43000000000029,close,46.43000000000029,close,46.43000000000029,close
2005-06-13,2005,跌-2~-1%,active,6192.35,-1.0,-38.69999999999982,close,-38.69999999999982,close,-38.69999999999982,close,-38.69999999999982,close
2005-06-14,2005,小跌-1~0,flat,,,,,,,,,,
2005-06-15,2005,跌-2~-1%,active,6205.76,-1.0,-46.340000000000146,close,-46.340000000000146,close,-46.340000000000146,close,-46.340000000000146,close
2005-06-16,2005,小漲0~1%,active,6252.1,1.0,30.30999999999949,close,30.30999999999949,close,30.30999999999949,close,30.30999999999949,close
2005-06-17,2005,小漲0~1%,active,6282.41,1.0,11.150000000000546,close,11.150000000000546,close,11.150000000000546,close,11.150000000000546,close
2005-06-20,2005,小漲0~1%,active,6293.56,1.0,3.3299999999999272,close,3.3299999999999272,close,3.3299999999999272,close,3.3299999999999272,close
2005-06-21,2005,小跌-1~0,flat,,,,,,,,,,
2005-06-22,2005,小漲0~1%,active,6278.46,1.0,79.36999999999989,close,79.36999999999989,close,79.36999999999989,close,79.36999999999989,close
2005-06-23,2005,小漲0~1%,active,6357.83,1.0,16.029999999999745,close,16.029999999999745,close,16.029999999999745,close,16.029999999999745,close
2005-06-24,2005,小漲0~1%,active,6373.86,1.0,-33.17000000000007,close,-47.80394999999999,stop,-49.63999999999942,stop_gap,-50.63999999999942,stop_gap
2005-06-27,2005,跌-2~-1%,active,6340.69,-1.0,37.69999999999982,close,37.69999999999982,close,37.69999999999982,close,37.69999999999982,close
2005-06-28,2005,跌-2~-1%,active,6302.99,-1.0,-13.850000000000364,close,-13.850000000000364,close,-13.850000000000364,close,-13.850000000000364,close
2005-06-29,2005,小漲0~1%,active,6316.84,1.0,-85.19000000000051,close,-47.3763,stop,-50.42000000000007,stop_gap,-51.42000000000007,stop_gap
2005-06-30,2005,小跌-1~0,flat,,,,,,,,,,
2005-07-01,2005,小跌-1~0,flat,,,,,,,,,,
2005-07-04,2005,小漲0~1%,active,6272.14,1.0,-0.9400000000005093,close,-0.9400000000005093,close,-0.9400000000005093,close,-0.9400000000005093,close
2005-07-05,2005,小漲0~1%,active,6271.2,1.0,-39.159999999999854,close,-39.159999999999854,close,-39.159999999999854,close,-39.159999999999854,close
2005-07-06,2005,漲1~2%,active,6232.04,1.0,-9.989999999999782,close,-9.989999999999782,close,-9.989999999999782,close,-9.989999999999782,close
2005-07-07,2005,漲1~2%,active,6222.05,1.0,-9.449999999999818,close,-9.449999999999818,close,-9.449999999999818,close,-9.449999999999818,close
2005-07-08,2005,小漲0~1%,active,6212.6,1.0,-11.200000000000728,close,-11.200000000000728,close,-11.200000000000728,close,-11.200000000000728,close
2005-07-11,2005,大漲>=2%,active,6265.77,-1.0,-33.089999999999236,close,-33.089999999999236,close,-33.089999999999236,close,-33.089999999999236,close
2005-07-12,2005,漲1~2%,active,6298.86,1.0,59.95000000000073,close,59.95000000000073,close,59.95000000000073,close,59.95000000000073,close
2005-07-13,2005,小漲0~1%,active,6358.81,1.0,18.279999999999745,close,18.279999999999745,close,18.279999999999745,close,18.279999999999745,close
