date,yr,bucket,status,entry,dir,pnl_nosl_ideal,how_nosl_ideal,pnl_sl_ideal,how_sl_ideal,pnl_sl_gap0,how_sl_gap0,pnl_sl_gap_slip,how_sl_gap_slip
2023-08-14,2023,大跌<-2%,flat,,,,,,,,,,
2023-08-15,2023,大漲>=2%,active,16529.0,-1.0,103.0,close,103.0,close,103.0,close,103.0,close
2023-08-16,2023,跌-2~-1%,active,16308.0,-1.0,-68.0,close,-68.0,close,-68.0,close,-68.0,close
2023-08-17,2023,大跌<-2%,flat,,,,,,,,,,
2023-08-18,2023,小跌-1~0,flat,,,,,,,,,,
2023-08-21,2023,小漲0~1%,active,16420.0,1.0,-72.0,close,-72.0,close,-72.0,close,-72.0,close
2023-08-22,2023,大漲>=2%,active,16420.0,-1.0,19.0,close,19.0,close,19.0,close,19.0,close
2023-08-23,2023,小跌-1~0,flat,,,,,,,,,,
2023-08-24,2023,大漲>=2%,active,16757.0,-1.0,-5.0,close,-5.0,close,-5.0,close,-5.0,close
2023-08-25,2023,大跌<-2%,flat,,,,,,,,,,
2023-08-28,2023,小漲0~1%,active,16468.0,1.0,22.0,close,22.0,close,22.0,close,22.0,close
2023-08-29,2023,漲1~2%,active,16571.0,1.0,55.0,close,55.0,close,55.0,close,55.0,close
2023-08-30,2023,大漲>=2%,active,16765.0,-1.0,39.0,close,39.0,close,39.0,close,39.0,close
2023-08-31,2023,小漲0~1%,active,16728.0,1.0,-106.0,close,-127.46,stop,-128.0,stop,-129.0,stop
2023-09-01,2023,小漲0~1%,active,16595.0,1.0,53.0,close,53.0,close,53.0,close,53.0,close
2023-09-04,2023,小漲0~1%,active,16648.0,1.0,129.0,close,129.0,close,129.0,close,129.0,close
2023-09-05,2023,小漲0~1%,active,16736.0,1.0,13.0,close,13.0,close,13.0,close,13.0,close
2023-09-06,2023,小漲0~1%,active,16760.0,1.0,-51.0,close,-51.0,close,-51.0,close,-51.0,close
2023-09-07,2023,小跌-1~0,flat,,,,,,,,,,
2023-09-08,2023,跌-2~-1%,active,16488.0,-1.0,-76.0,close,-76.0,close,-76.0,close,-76.0,close
2023-09-11,2023,小跌-1~0,flat,,,,,,,,,,
2023-09-12,2023,小漲0~1%,active,16465.0,1.0,102.0,close,102.0,close,102.0,close,102.0,close
2023-09-13,2023,小跌-1~0,flat,,,,,,,,,,
2023-09-14,2023,小漲0~1%,active,16675.0,1.0,163.0,close,163.0,close,163.0,close,163.0,close
2023-09-15,2023,小漲0~1%,active,16846.0,1.0,58.0,close,58.0,close,58.0,close,58.0,close
2023-09-18,2023,大跌<-2%,flat,,,,,,,,,,
2023-09-19,2023,小漲0~1%,active,16689.0,1.0,-84.0,close,-84.0,close,-84.0,close,-84.0,close
2023-09-20,2023,小跌-1~0,flat,,,,,,,,,,
2023-09-21,2023,跌-2~-1%,active,16484.0,-1.0,174.0,close,174.0,close,174.0,close,174.0,close
2023-09-22,2023,跌-2~-1%,active,16200.0,-1.0,-146.0,close,-123.5,stop,-124.0,stop,-125.0,stop
2023-09-25,2023,小漲0~1%,active,16360.0,1.0,100.0,close,100.0,close,100.0,close,100.0,close
2023-09-26,2023,小漲0~1%,active,16407.0,1.0,-102.0,close,-125.0525,stop,-126.0,stop,-127.0,stop
2023-09-27,2023,跌-2~-1%,active,16243.0,-1.0,-71.0,close,-71.0,close,-71.0,close,-71.0,close
2023-09-28,2023,小漲0~1%,active,16345.0,1.0,23.0,close,23.0,close,23.0,close,23.0,close
2023-10-02,2023,小漲0~1%,active,16521.0,1.0,35.0,close,35.0,close,35.0,close,35.0,close
2023-10-03,2023,小漲0~1%,active,16495.0,1.0,-86.0,close,-86.0,close,-86.0,close,-86.0,close
2023-10-04,2023,大跌<-2%,flat,,,,,,,,,,
2023-10-05,2023,漲1~2%,active,16300.0,1.0,156.0,close,156.0,close,156.0,close,156.0,close
2023-10-06,2023,小跌-1~0,flat,,,,,,,,,,
2023-10-11,2023,漲1~2%,active,16800.0,1.0,-87.0,close,-128.0,stop,-128.0,stop,-129.0,stop
2023-10-12,2023,小漲0~1%,active,16773.0,1.0,75.0,close,75.0,close,75.0,close,75.0,close
2023-10-13,2023,小漲0~1%,active,16749.0,1.0,19.0,close,19.0,close,19.0,close,19.0,close
2023-10-16,2023,大跌<-2%,flat,,,,,,,,,,
2023-10-17,2023,漲1~2%,active,16756.0,1.0,-105.0,close,-105.0,close,-105.0,close,-105.0,close
2023-10-18,2023,小跌-1~0,flat,,,,,,,,,,
2023-10-19,2023,跌-2~-1%,active,16351.0,-1.0,-111.0,close,-124.6325,stop,-125.0,stop,-126.0,stop
2023-10-20,2023,跌-2~-1%,active,16457.0,-1.0,40.0,close,40.0,close,40.0,close,40.0,close
2023-10-23,2023,跌-2~-1%,active,16350.0,-1.0,90.0,close,90.0,close,90.0,close,90.0,close
2023-10-24,2023,小跌-1~0,flat,,,,,,,,,,
2023-10-25,2023,漲1~2%,active,16366.0,1.0,-11.0,close,-11.0,close,-11.0,close,-11.0,close
2023-10-26,2023,大跌<-2%,flat,,,,,,,,,,
2023-10-27,2023,小跌-1~0,flat,,,,,,,,,,
2023-10-30,2023,漲1~2%,active,16115.0,1.0,44.0,close,44.0,close,44.0,close,44.0,close
2023-10-31,2023,跌-2~-1%,active,16187.0,-1.0,189.0,close,189.0,close,189.0,close,189.0,close
2023-11-01,2023,小漲0~1%,active,16094.0,1.0,-47.0,close,-47.0,close,-47.0,close,-47.0,close
2023-11-02,2023,大漲>=2%,active,16349.0,-1.0,-46.0,close,-46.0,close,-46.0,close,-46.0,close
2023-11-03,2023,大漲>=2%,active,16500.0,-1.0,-14.0,close,-14.0,close,-14.0,close,-14.0,close
2023-11-06,2023,大漲>=2%,active,16693.0,-1.0,18.0,close,18.0,close,18.0,close,18.0,close
2023-11-07,2023,小跌-1~0,flat,,,,,,,,,,
2023-11-08,2023,小漲0~1%,active,16730.0,1.0,18.0,close,18.0,close,18.0,close,18.0,close
2023-11-09,2023,小漲0~1%,active,16710.0,1.0,53.0,close,53.0,close,53.0,close,53.0,close
2023-11-10,2023,小跌-1~0,flat,,,,,,,,,,
2023-11-13,2023,大漲>=2%,active,16896.0,-1.0,20.0,close,20.0,close,20.0,close,20.0,close
2023-11-14,2023,小跌-1~0,flat,,,,,,,,,,
2023-11-15,2023,大漲>=2%,active,17155.0,-1.0,-12.0,close,-12.0,close,-12.0,close,-12.0,close
2023-11-16,2023,小漲0~1%,active,17200.0,1.0,-15.0,close,-15.0,close,-15.0,close,-15.0,close
2023-11-17,2023,小漲0~1%,active,17154.0,1.0,64.0,close,64.0,close,64.0,close,64.0,close
2023-11-20,2023,小漲0~1%,active,17222.0,1.0,-26.0,close,-26.0,close,-26.0,close,-26.0,close
2023-11-21,2023,漲1~2%,active,17285.0,1.0,125.0,close,125.0,close,125.0,close,125.0,close
2023-11-22,2023,跌-2~-1%,active,17302.0,-1.0,14.0,close,14.0,close,14.0,close,14.0,close
2023-11-23,2023,小漲0~1%,active,17267.0,1.0,36.0,close,36.0,close,36.0,close,36.0,close
2023-11-24,2023,小漲0~1%,active,17336.0,1.0,-47.0,close,-47.0,close,-47.0,close,-47.0,close
2023-11-27,2023,小漲0~1%,active,17260.0,1.0,-90.0,close,-90.0,close,-90.0,close,-90.0,close
2023-11-28,2023,小跌-1~0,flat,,,,,,,,,,
2023-11-29,2023,小跌-1~0,flat,,,,,,,,,,
2023-11-30,2023,小漲0~1%,active,17400.0,1.0,-8.0,close,-8.0,close,-8.0,close,-8.0,close
2023-12-01,2023,小跌-1~0,flat,,,,,,,,,,
2023-12-04,2023,小漲0~1%,active,17466.0,1.0,-50.0,close,-50.0,close,-50.0,close,-50.0,close
2023-12-05,2023,跌-2~-1%,active,17281.0,-1.0,-31.0,close,-31.0,close,-31.0,close,-31.0,close
2023-12-06,2023,小跌-1~0,flat,,,,,,,,,,
2023-12-07,2023,小跌-1~0,flat,,,,,,,,,,
2023-12-08,2023,大漲>=2%,active,17392.0,-1.0,16.0,close,16.0,close,16.0,close,16.0,close
2023-12-11,2023,小漲0~1%,active,17432.0,1.0,-18.0,close,-18.0,close,-18.0,close,-18.0,close
2023-12-12,2023,大漲>=2%,active,17487.0,-1.0,21.0,close,21.0,close,21.0,close,21.0,close
2023-12-13,2023,小漲0~1%,active,17495.0,1.0,-44.0,close,-44.0,close,-44.0,close,-44.0,close
2023-12-14,2023,漲1~2%,active,17600.0,1.0,59.0,close,59.0,close,59.0,close,59.0,close
2023-12-15,2023,大漲>=2%,active,17741.0,-1.0,66.0,close,66.0,close,66.0,close,66.0,close
2023-12-18,2023,小漲0~1%,active,17665.0,1.0,-13.0,close,-13.0,close,-13.0,close,-13.0,close
2023-12-19,2023,小跌-1~0,flat,,,,,,,,,,
2023-12-20,2023,小漲0~1%,active,17591.0,1.0,66.0,close,66.0,close,66.0,close,66.0,close
2023-12-21,2023,大跌<-2%,flat,,,,,,,,,,
2023-12-22,2023,大漲>=2%,active,17568.0,-1.0,7.0,close,7.0,close,7.0,close,7.0,close
2023-12-25,2023,小漲0~1%,active,17633.0,1.0,-14.0,close,-14.0,close,-14.0,close,-14.0,close
2023-12-26,2023,小漲0~1%,active,17649.0,1.0,83.0,close,83.0,close,83.0,close,83.0,close
2023-12-27,2023,漲1~2%,active,17758.0,1.0,97.0,close,97.0,close,97.0,close,97.0,close
2023-12-28,2023,小漲0~1%,active,17850.0,1.0,11.0,close,11.0,close,11.0,close,11.0,close
2023-12-29,2023,小跌-1~0,flat,,,,,,,,,,
2024-01-02,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-03,2024,大跌<-2%,flat,,,,,,,,,,
2024-01-04,2024,大跌<-2%,flat,,,,,,,,,,
2024-01-05,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-08,2024,小漲0~1%,active,17570.0,1.0,25.0,close,25.0,close,25.0,close,25.0,close
2024-01-09,2024,大漲>=2%,active,17615.0,-1.0,69.0,close,69.0,close,69.0,close,69.0,close
2024-01-10,2024,小漲0~1%,active,17510.0,1.0,-54.0,close,-54.0,close,-54.0,close,-54.0,close
2024-01-11,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-12,2024,小漲0~1%,active,17470.0,1.0,14.0,close,14.0,close,14.0,close,14.0,close
2024-01-15,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-16,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-17,2024,漲1~2%,active,17341.0,1.0,-108.0,close,-108.0,close,-108.0,close,-108.0,close
2024-01-18,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-19,2024,大漲>=2%,active,17580.0,-1.0,-99.0,close,-99.0,close,-99.0,close,-99.0,close
2024-01-22,2024,大漲>=2%,active,17817.0,-1.0,-2.0,close,-2.0,close,-2.0,close,-2.0,close
2024-01-23,2024,小漲0~1%,active,17797.0,1.0,70.0,close,70.0,close,70.0,close,70.0,close
2024-01-24,2024,小漲0~1%,active,17902.0,1.0,-8.0,close,-8.0,close,-8.0,close,-8.0,close
2024-01-25,2024,漲1~2%,active,18025.0,1.0,-29.0,close,-29.0,close,-29.0,close,-29.0,close
2024-01-26,2024,小跌-1~0,flat,,,,,,,,,,
2024-01-29,2024,大跌<-2%,flat,,,,,,,,,,
2024-01-30,2024,漲1~2%,active,18131.0,1.0,-53.0,close,-53.0,close,-53.0,close,-53.0,close
2024-01-31,2024,跌-2~-1%,active,17983.0,-1.0,62.0,close,62.0,close,62.0,close,62.0,close
2024-02-01,2024,跌-2~-1%,active,17978.0,-1.0,-12.0,close,-12.0,close,-12.0,close,-12.0,close
2024-02-02,2024,小漲0~1%,active,18099.0,1.0,-17.0,close,-17.0,close,-17.0,close,-17.0,close
2024-02-05,2024,漲1~2%,active,18014.0,1.0,70.0,close,70.0,close,70.0,close,70.0,close
2024-02-15,2024,大漲>=2%,active,18574.0,-1.0,-95.0,close,-95.0,close,-95.0,close,-95.0,close
2024-02-16,2024,小跌-1~0,flat,,,,,,,,,,
2024-02-19,2024,小跌-1~0,flat,,,,,,,,,,
2024-02-20,2024,小跌-1~0,flat,,,,,,,,,,
2024-02-21,2024,跌-2~-1%,active,18751.0,-1.0,59.0,close,59.0,close,59.0,close,59.0,close
2024-02-22,2024,小跌-1~0,flat,,,,,,,,,,
2024-02-23,2024,大漲>=2%,active,18952.0,-1.0,39.0,close,39.0,close,39.0,close,39.0,close
2024-02-26,2024,跌-2~-1%,active,18915.0,-1.0,-51.0,close,-51.0,close,-51.0,close,-51.0,close
2024-02-27,2024,漲1~2%,active,18955.0,1.0,-90.0,close,-144.1625,stop,-145.0,stop,-146.0,stop
2024-02-29,2024,跌-2~-1%,active,18811.0,-1.0,-157.0,close,-143.08249999999998,stop,-144.0,stop,-145.0,stop
2024-03-01,2024,大漲>=2%,active,18972.0,-1.0,11.0,close,11.0,close,11.0,close,11.0,close
2024-03-04,2024,大漲>=2%,active,19288.0,-1.0,-28.0,close,-28.0,close,-28.0,close,-28.0,close
2024-03-05,2024,漲1~2%,active,19372.0,1.0,18.0,close,18.0,close,18.0,close,18.0,close
2024-03-06,2024,大跌<-2%,flat,,,,,,,,,,
2024-03-07,2024,大漲>=2%,active,19666.0,-1.0,-42.0,close,-42.0,close,-42.0,close,-42.0,close
2024-03-08,2024,大漲>=2%,active,19959.0,-1.0,163.0,close,163.0,close,163.0,close,163.0,close
2024-03-11,2024,大跌<-2%,flat,,,,,,,,,,
2024-03-12,2024,跌-2~-1%,active,19713.0,-1.0,-246.0,close,-149.8475,stop,-150.0,stop,-151.0,stop
2024-03-13,2024,大漲>=2%,active,19955.0,-1.0,25.0,close,25.0,close,25.0,close,25.0,close
2024-03-14,2024,大跌<-2%,flat,,,,,,,,,,
2024-03-15,2024,跌-2~-1%,active,19827.0,-1.0,99.0,close,99.0,close,99.0,close,99.0,close
2024-03-18,2024,小跌-1~0,flat,,,,,,,,,,
2024-03-19,2024,小跌-1~0,flat,,,,,,,,,,
2024-03-20,2024,小跌-1~0,flat,,,,,,,,,,
2024-03-21,2024,漲1~2%,active,20043.0,1.0,220.0,close,220.0,close,220.0,close,220.0,close
2024-03-22,2024,大漲>=2%,active,20170.0,-1.0,-74.0,close,-74.0,close,-74.0,close,-74.0,close
2024-03-25,2024,小漲0~1%,active,20250.0,1.0,-26.0,close,-26.0,close,-26.0,close,-26.0,close
2024-03-26,2024,小跌-1~0,flat,,,,,,,,,,
2024-03-27,2024,小跌-1~0,flat,,,,,,,,,,
2024-03-28,2024,小漲0~1%,active,20239.0,1.0,-38.0,close,-153.7925,stop,-157.0,stop_gap,-158.0,stop_gap
2024-03-29,2024,小漲0~1%,active,20220.0,1.0,57.0,close,57.0,close,57.0,close,57.0,close
2024-04-01,2024,小漲0~1%,active,20394.0,1.0,-107.0,close,-107.0,close,-107.0,close,-107.0,close
2024-04-02,2024,漲1~2%,active,20355.0,1.0,165.0,close,165.0,close,165.0,close,165.0,close
2024-04-03,2024,跌-2~-1%,active,20375.0,-1.0,22.0,close,22.0,close,22.0,close,22.0,close
2024-04-08,2024,漲1~2%,active,20405.0,1.0,44.0,close,44.0,close,44.0,close,44.0,close
2024-04-09,2024,小漲0~1%,active,20539.0,1.0,331.0,close,331.0,close,331.0,close,331.0,close
