y,exit,n,winrate,avg,med,max_loss,pf
10,13:00,352,0.4631,-10.51,-5.0,-1166.0,0.8
10,13:05,352,0.4801,-13.34,-2.5,-1360.0,0.76
10,13:10,352,0.483,-10.52,-5.5,-1096.0,0.81
10,13:15,352,0.483,-7.41,-2.0,-1047.0,0.86
10,13:20,352,0.4688,-10.01,-6.0,-1191.0,0.82
10,13:25,352,0.4631,-13.16,-5.0,-1196.0,0.77
10,13:30,352,0.4801,-14.84,-3.5,-1090.0,0.75
10,13:44,352,0.4602,-15.21,-11.0,-1279.0,0.76
20,13:00,394,0.4492,-11.25,-6.0,-1176.0,0.78
20,13:05,394,0.4695,-14.05,-4.0,-1370.0,0.74
20,13:10,394,0.4772,-11.46,-2.5,-1106.0,0.78
20,13:15,394,0.4695,-8.81,-5.0,-1057.0,0.83
20,13:20,394,0.4695,-11.34,-7.0,-1201.0,0.79
20,13:25,394,0.4645,-14.43,-5.0,-1206.0,0.74
20,13:30,394,0.4619,-15.8,-4.0,-1100.0,0.72
20,13:44,394,0.467,-15.66,-6.0,-1289.0,0.74
30,13:00,418,0.4522,-12.96,-8.0,-1186.0,0.75
30,13:05,418,0.4593,-15.64,-6.5,-1380.0,0.71
30,13:10,418,0.4617,-13.18,-6.5,-1116.0,0.75
30,13:15,418,0.4545,-10.6,-7.0,-1067.0,0.79
30,13:20,418,0.4522,-12.77,-7.0,-1211.0,0.76
30,13:25,418,0.4426,-15.9,-6.0,-1216.0,0.71
30,13:30,418,0.4498,-16.98,-9.0,-1110.0,0.7
30,13:44,418,0.4545,-16.68,-7.5,-1299.0,0.73
40,13:00,449,0.461,-12.11,-7.0,-1196.0,0.76
40,13:05,449,0.4566,-14.35,-7.0,-1390.0,0.73
40,13:10,449,0.4477,-12.25,-6.0,-1126.0,0.77
40,13:15,449,0.4677,-9.83,-7.0,-1077.0,0.81
40,13:20,449,0.4499,-11.71,-9.0,-1221.0,0.78
40,13:25,449,0.4432,-14.81,-8.0,-1226.0,0.73
40,13:30,449,0.4521,-15.99,-9.0,-1120.0,0.72
40,13:44,449,0.4699,-15.18,-7.0,-1309.0,0.75
50,13:00,478,0.4561,-9.88,-6.5,-1206.0,0.81
50,13:05,478,0.4665,-11.57,-6.5,-1400.0,0.78
50,13:10,478,0.4665,-9.09,-6.0,-1136.0,0.83
50,13:15,478,0.4749,-6.89,-5.5,-1087.0,0.87
50,13:20,478,0.4519,-8.66,-8.0,-1231.0,0.84
50,13:25,478,0.4498,-11.56,-7.5,-1236.0,0.79
50,13:30,478,0.4644,-12.83,-7.0,-1130.0,0.77
50,13:44,478,0.4665,-11.78,-5.0,-1319.0,0.8
60,13:00,498,0.4518,-10.73,-7.0,-1216.0,0.79
60,13:05,498,0.4598,-12.32,-5.5,-1410.0,0.77
60,13:10,498,0.4659,-9.95,-5.5,-1146.0,0.81
60,13:15,498,0.4699,-7.66,-7.0,-1097.0,0.85
60,13:20,498,0.4618,-9.35,-10.0,-1241.0,0.83
60,13:25,498,0.4418,-12.16,-7.0,-1246.0,0.78
60,13:30,498,0.4498,-13.44,-7.5,-1140.0,0.77
60,13:44,498,0.4659,-12.99,-7.0,-1329.0,0.79
70,13:00,522,0.4521,-11.41,-7.5,-1226.0,0.78
70,13:05,522,0.454,-12.97,-7.0,-1420.0,0.76
70,13:10,522,0.4579,-10.62,-5.5,-1156.0,0.8
70,13:15,522,0.4713,-8.73,-8.0,-1107.0,0.83
70,13:20,522,0.4521,-10.2,-8.5,-1251.0,0.81
70,13:25,522,0.4406,-12.84,-7.5,-1256.0,0.77
70,13:30,522,0.4502,-14.2,-9.0,-1150.0,0.75
70,13:44,522,0.4617,-13.81,-9.0,-1339.0,0.77
80,13:00,538,0.4591,-10.75,-7.0,-1236.0,0.8
80,13:05,538,0.4535,-12.37,-6.5,-1430.0,0.77
80,13:10,538,0.4684,-9.66,-5.5,-1166.0,0.82
80,13:15,538,0.4721,-8.0,-7.0,-1117.0,0.85
80,13:20,538,0.4554,-9.58,-9.5,-1261.0,0.82
80,13:25,538,0.4442,-12.21,-7.5,-1266.0,0.78
80,13:30,538,0.4554,-13.54,-8.0,-1160.0,0.77
80,13:44,538,0.4665,-12.78,-7.0,-1349.0,0.79
