x,exit,n,winrate,avg,med,max_loss,pf
10,13:00,355,0.4225,-5.93,-18.0,-514.0,0.88
10,13:05,355,0.4225,-7.2,-16.0,-553.0,0.86
10,13:10,355,0.4197,-9.85,-16.0,-532.0,0.81
10,13:15,355,0.4254,-7.6,-17.0,-492.0,0.85
10,13:20,355,0.4366,-5.38,-15.0,-500.0,0.89
10,13:25,355,0.4507,-3.73,-12.0,-424.0,0.92
10,13:30,355,0.4563,-2.15,-11.0,-506.0,0.95
10,13:44,355,0.4423,-1.97,-14.0,-505.0,0.96
20,13:00,407,0.4595,-5.81,-9.0,-524.0,0.88
20,13:05,407,0.4496,-7.58,-10.0,-563.0,0.85
20,13:10,407,0.4447,-10.19,-12.0,-542.0,0.8
20,13:15,407,0.4521,-7.99,-11.0,-502.0,0.84
20,13:20,407,0.4545,-6.35,-10.0,-510.0,0.87
20,13:25,407,0.4545,-4.71,-9.0,-434.0,0.9
20,13:30,407,0.4767,-3.18,-4.0,-516.0,0.93
20,13:44,407,0.4595,-3.42,-6.0,-515.0,0.93
30,13:00,443,0.4673,-3.15,-7.0,-534.0,0.93
30,13:05,443,0.456,-5.09,-7.0,-573.0,0.89
30,13:10,443,0.4492,-7.55,-10.0,-552.0,0.85
30,13:15,443,0.4515,-5.57,-10.0,-512.0,0.88
30,13:20,443,0.4628,-4.08,-8.0,-520.0,0.91
30,13:25,443,0.4695,-2.41,-6.0,-444.0,0.95
30,13:30,443,0.4808,-1.01,-5.0,-526.0,0.98
30,13:44,443,0.465,-1.49,-7.0,-525.0,0.97
40,13:00,470,0.4723,-4.49,-6.5,-544.0,0.9
40,13:05,470,0.4574,-6.12,-8.5,-583.0,0.87
40,13:10,470,0.4489,-8.35,-10.0,-562.0,0.83
40,13:15,470,0.4574,-6.51,-11.0,-522.0,0.87
40,13:20,470,0.4574,-5.08,-8.0,-530.0,0.89
40,13:25,470,0.4617,-3.66,-6.0,-454.0,0.92
40,13:30,470,0.4872,-2.16,-4.5,-536.0,0.95
40,13:44,470,0.466,-3.04,-5.5,-535.0,0.94
50,13:00,508,0.4764,-3.98,-5.0,-554.0,0.91
50,13:05,508,0.4685,-5.57,-5.0,-593.0,0.88
50,13:10,508,0.4626,-7.81,-8.0,-572.0,0.84
50,13:15,508,0.4685,-6.27,-8.0,-532.0,0.87
50,13:20,508,0.4685,-4.64,-7.5,-540.0,0.9
50,13:25,508,0.4606,-3.5,-7.0,-464.0,0.93
50,13:30,508,0.4783,-2.01,-4.0,-546.0,0.96
50,13:44,508,0.4626,-3.15,-6.0,-545.0,0.94
60,13:00,539,0.4842,0.01,-4.0,-564.0,1.0
60,13:05,539,0.4694,-1.31,-3.0,-603.0,0.97
60,13:10,539,0.4694,-3.58,-7.0,-582.0,0.93
60,13:15,539,0.4731,-2.37,-6.0,-542.0,0.95
60,13:20,539,0.4731,-0.58,-6.0,-550.0,0.99
60,13:25,539,0.4694,0.7,-6.0,-474.0,1.01
60,13:30,539,0.4805,1.93,-5.0,-556.0,1.04
60,13:44,539,0.4657,0.78,-6.0,-555.0,1.02
70,13:00,557,0.4883,1.25,-5.0,-574.0,1.03
70,13:05,557,0.4686,0.04,-3.0,-613.0,1.0
70,13:10,557,0.465,-2.03,-5.0,-592.0,0.96
70,13:15,557,0.465,-0.96,-7.0,-552.0,0.98
70,13:20,557,0.4758,0.78,-6.0,-560.0,1.02
70,13:25,557,0.474,2.0,-6.0,-484.0,1.04
70,13:30,557,0.4794,3.86,-4.0,-566.0,1.08
70,13:44,557,0.4596,3.15,-7.0,-565.0,1.06
80,13:00,578,0.481,0.63,-5.0,-584.0,1.01
80,13:05,578,0.4619,-0.49,-5.5,-623.0,0.99
80,13:10,578,0.4637,-2.52,-5.5,-602.0,0.95
80,13:15,578,0.4619,-1.61,-7.5,-562.0,0.97
80,13:20,578,0.4706,-0.04,-6.0,-570.0,1.0
80,13:25,578,0.474,1.25,-5.0,-494.0,1.03
80,13:30,578,0.481,3.1,-4.0,-576.0,1.07
80,13:44,578,0.4671,2.4,-6.5,-575.0,1.05
90,13:00,590,0.4763,0.6,-5.5,-594.0,1.01
90,13:05,590,0.4559,-0.65,-6.5,-633.0,0.99
90,13:10,590,0.4525,-2.75,-6.0,-612.0,0.94
90,13:15,590,0.4644,-2.02,-10.5,-572.0,0.96
90,13:20,590,0.4729,-0.4,-7.0,-580.0,0.99
90,13:25,590,0.4746,0.79,-4.0,-504.0,1.02
90,13:30,590,0.478,2.9,-4.0,-586.0,1.06
90,13:44,590,0.4678,2.37,-6.0,-585.0,1.05
100,13:00,603,0.4776,-0.07,-6.0,-604.0,1.0
100,13:05,603,0.461,-1.3,-7.0,-643.0,0.97
100,13:10,603,0.4561,-3.28,-7.0,-622.0,0.93
100,13:15,603,0.4643,-2.61,-11.0,-582.0,0.95
100,13:20,603,0.4743,-0.97,-7.0,-590.0,0.98
100,13:25,603,0.4693,0.14,-5.0,-514.0,1.0
100,13:30,603,0.4743,2.12,-5.0,-596.0,1.05
100,13:44,603,0.4627,1.48,-6.0,-595.0,1.03
110,13:00,621,0.4815,-0.11,-5.0,-614.0,1.0
110,13:05,621,0.4622,-1.18,-5.0,-653.0,0.98
110,13:10,621,0.4605,-2.84,-6.0,-632.0,0.94
110,13:15,621,0.4718,-1.94,-7.0,-592.0,0.96
110,13:20,621,0.4799,-0.28,-4.0,-600.0,0.99
110,13:25,621,0.4767,0.81,-4.0,-524.0,1.02
110,13:30,621,0.4815,2.54,-4.0,-606.0,1.05
110,13:44,621,0.4686,1.97,-6.0,-605.0,1.04
120,13:00,631,0.4818,-0.71,-6.0,-624.0,0.98
120,13:05,631,0.4628,-1.75,-6.0,-663.0,0.96
120,13:10,631,0.4628,-3.24,-6.0,-642.0,0.94
120,13:15,631,0.4707,-2.27,-7.0,-602.0,0.95
120,13:20,631,0.4818,-0.57,-4.0,-610.0,0.99
120,13:25,631,0.4786,0.57,-4.0,-534.0,1.01
120,13:30,631,0.4849,2.13,-3.0,-616.0,1.05
120,13:44,631,0.4675,1.72,-6.0,-615.0,1.03
130,13:00,642,0.4875,-0.2,-3.5,-627.0,1.0
130,13:05,642,0.4673,-1.15,-5.5,-666.0,0.98
130,13:10,642,0.4688,-2.67,-5.5,-645.0,0.95
130,13:15,642,0.4798,-1.69,-6.0,-605.0,0.97
130,13:20,642,0.486,0.22,-3.0,-613.0,1.0
130,13:25,642,0.486,1.31,-2.0,-537.0,1.03
130,13:30,642,0.4907,3.0,-2.0,-619.0,1.06
130,13:44,642,0.4735,2.47,-5.0,-618.0,1.05
140,13:00,645,0.4822,-0.66,-4.0,-627.0,0.99
140,13:05,645,0.4682,-1.58,-5.0,-666.0,0.97
140,13:10,645,0.4667,-3.22,-5.0,-645.0,0.94
140,13:15,645,0.4775,-2.32,-6.0,-605.0,0.95
140,13:20,645,0.4853,-0.43,-4.0,-613.0,0.99
140,13:25,645,0.4868,0.48,-2.0,-537.0,1.01
140,13:30,645,0.4884,2.17,-2.0,-619.0,1.05
140,13:44,645,0.4744,1.23,-5.0,-618.0,1.02
150,13:00,653,0.487,1.02,-4.0,-627.0,1.02
150,13:05,653,0.4717,0.39,-4.0,-666.0,1.01
150,13:10,653,0.4717,-1.44,-3.0,-645.0,0.97
150,13:15,653,0.4824,-0.72,-6.0,-605.0,0.99
150,13:20,653,0.49,1.04,-2.0,-613.0,1.02
150,13:25,653,0.49,2.03,-1.0,-537.0,1.04
150,13:30,653,0.4885,3.91,-2.0,-619.0,1.08
150,13:44,653,0.4763,3.02,-5.0,-618.0,1.06
