date,yr,sox,gap,m_drift,pm_drift,pm_drift1330,full,day_dir
2023-08-15,2023,0.028709223086881508,98.0,54.0,-105.0,-77.0,-51.0,1.0
2023-08-16,2023,-0.017007564756807536,-116.0,59.0,7.0,7.0,66.0,-1.0
2023-08-17,2023,-0.020788078650294306,-99.0,70.0,112.0,125.0,182.0,1.0
2023-08-18,2023,-0.00969230592400172,-38.0,89.0,-157.0,-158.0,-68.0,-1.0
2023-08-21,2023,0.004755756089776186,69.0,-76.0,6.0,-2.0,-70.0,-1.0
2023-08-22,2023,0.02830128741978899,142.0,-72.0,-21.0,-5.0,-93.0,1.0
2023-08-23,2023,-0.009281778506714855,16.0,56.0,90.0,71.0,146.0,1.0
2023-08-24,2023,0.021067610816143167,237.0,-41.0,3.0,-9.0,-38.0,1.0
2023-08-25,2023,-0.03351184477555591,-210.0,4.0,-133.0,-126.0,-129.0,-1.0
2023-08-28,2023,0.004122023382069795,47.0,57.0,-33.0,-37.0,24.0,1.0
2023-08-29,2023,0.01207786820762946,79.0,-105.0,162.0,146.0,57.0,1.0
2023-08-30,2023,0.025919550463979757,110.0,27.0,-41.0,-47.0,-14.0,1.0
2023-08-31,2023,0.00395363638116919,4.0,-59.0,-45.0,-40.0,-104.0,-1.0
2023-09-01,2023,0.007412347142637499,-29.0,110.0,-55.0,-46.0,55.0,1.0
2023-09-04,2023,0.003244409454824959,-2.0,12.0,119.0,100.0,131.0,1.0
2023-09-05,2023,0.003244409454824959,-43.0,14.0,1.0,13.0,15.0,-1.0
2023-09-06,2023,0.00025795310141085714,9.0,-29.0,-20.0,-21.0,-49.0,-1.0
2023-09-07,2023,-0.007961908795018124,-106.0,27.0,-70.0,-56.0,-43.0,-1.0
2023-09-08,2023,-0.01979772661350787,-74.0,0.0,74.0,52.0,74.0,0.0
2023-09-11,2023,-0.004500140978362044,4.0,-113.0,-29.0,-37.0,-142.0,-1.0
2023-09-12,2023,0.0009085835910924711,41.0,-12.0,116.0,105.0,104.0,1.0
2023-09-13,2023,-0.007884053423287352,0.0,19.0,-9.0,-11.0,10.0,1.0
2023-09-14,2023,0.0054700671262237766,96.0,89.0,76.0,68.0,165.0,1.0
2023-09-15,2023,0.00667610364952842,6.0,17.0,43.0,49.0,60.0,1.0
2023-09-18,2023,-0.030087354885149686,-148.0,22.0,-73.0,-76.0,-51.0,-1.0
2023-09-19,2023,0.004625487934322603,-18.0,-8.0,-74.0,-51.0,-82.0,-1.0
2023-09-20,2023,-0.00957774869934458,11.0,21.0,-76.0,-86.0,-55.0,-1.0
2023-09-21,2023,-0.017406664315326337,-79.0,-162.0,-14.0,-25.0,-176.0,-1.0
2023-09-22,2023,-0.017641468631668156,-108.0,63.0,81.0,70.0,144.0,1.0
2023-09-25,2023,0.007918894230049212,16.0,73.0,29.0,25.0,102.0,1.0
2023-09-26,2023,0.007182144778013155,-55.0,-72.0,-27.0,-50.0,-99.0,-1.0
2023-09-27,2023,-0.01765472966195214,-65.0,72.0,-3.0,-12.0,69.0,1.0
2023-09-28,2023,0.009547636066578047,33.0,37.0,-12.0,-22.0,25.0,1.0
2023-10-02,2023,0.003887763483670037,151.0,59.0,-22.0,-14.0,37.0,1.0
2023-10-03,2023,0.0042395953748810555,-63.0,37.0,-121.0,-98.0,-84.0,-1.0
2023-10-04,2023,-0.02095481102396446,-124.0,-38.0,-4.0,2.0,-42.0,-1.0
2023-10-05,2023,0.014316260831966021,55.0,110.0,48.0,64.0,158.0,1.0
2023-10-06,2023,-0.005238078553659653,22.0,39.0,8.0,9.0,47.0,1.0
2023-10-11,2023,0.012897457712662375,273.0,-92.0,7.0,6.0,-85.0,1.0
2023-10-12,2023,0.007334705743336389,58.0,-10.0,87.0,84.0,77.0,1.0
2023-10-13,2023,0.0030498921655364164,-101.0,43.0,-22.0,-22.0,21.0,-1.0
2023-10-16,2023,-0.02695413991917983,-112.0,-6.0,-5.0,7.0,-11.0,-1.0
2023-10-17,2023,0.014347069334515128,109.0,-13.0,-90.0,-100.0,-103.0,1.0
2023-10-18,2023,-0.007951440538356835,-4.0,-118.0,-65.0,-68.0,-183.0,-1.0
2023-10-19,2023,-0.017616112080030888,-115.0,96.0,13.0,12.0,109.0,-1.0
2023-10-20,2023,-0.013382355095284737,-3.0,-158.0,116.0,122.0,-42.0,-1.0
2023-10-23,2023,-0.015330619371275334,-65.0,-24.0,-68.0,-56.0,-92.0,-1.0
2023-10-24,2023,-0.005307375442532569,14.0,-87.0,149.0,153.0,62.0,1.0
2023-10-25,2023,0.013763665136696801,32.0,94.0,-103.0,-77.0,-9.0,1.0
2023-10-26,2023,-0.04129858789332341,-205.0,-14.0,-72.0,-90.0,-86.0,-1.0
2023-10-27,2023,-0.005433833254310905,73.0,20.0,-5.0,-11.0,15.0,1.0
2023-10-30,2023,0.01212826415591417,-39.0,96.0,-50.0,-60.0,46.0,1.0
2023-10-31,2023,-0.012986932499558512,26.0,-7.0,-184.0,-190.0,-191.0,-1.0
2023-11-01,2023,0.009641527323416499,98.0,-44.0,-1.0,11.0,-45.0,1.0
2023-11-02,2023,0.02334035057169248,194.0,106.0,44.0,41.0,150.0,1.0
2023-11-03,2023,0.02357677874170072,102.0,5.0,12.0,15.0,17.0,1.0
2023-11-06,2023,0.025539254395079203,163.0,18.0,-20.0,-24.0,-2.0,1.0
2023-11-07,2023,-0.0028020853536041557,-43.0,51.0,27.0,5.0,78.0,1.0
2023-11-08,2023,0.007712873270264042,22.0,32.0,-12.0,-14.0,20.0,1.0
2023-11-09,2023,0.0003485565151262193,-40.0,29.0,26.0,32.0,55.0,1.0
2023-11-10,2023,-0.005854285031402284,-98.0,9.0,57.0,21.0,66.0,-1.0
2023-11-13,2023,0.04037841000596676,232.0,-69.0,-22.0,-26.0,-91.0,1.0
2023-11-14,2023,-0.009741796455199903,90.0,-17.0,1.0,-9.0,-16.0,1.0
2023-11-15,2023,0.0362184578618121,251.0,-44.0,10.0,13.0,-34.0,1.0
2023-11-16,2023,0.0071956305266214216,35.0,-65.0,52.0,32.0,-13.0,1.0
2023-11-17,2023,0.003235374142329439,-33.0,77.0,-11.0,-21.0,66.0,1.0
2023-11-20,2023,0.006592196772374548,2.0,-33.0,9.0,9.0,-24.0,-1.0
2023-11-21,2023,0.015248156002827695,87.0,115.0,12.0,2.0,127.0,1.0
2023-11-22,2023,-0.019186454394728103,-110.0,25.0,-41.0,-31.0,-16.0,-1.0
2023-11-23,2023,0.003260295918066758,-19.0,18.0,20.0,8.0,38.0,1.0
2023-11-24,2023,0.003260295918066758,31.0,-40.0,-6.0,-1.0,-46.0,-1.0
2023-11-27,2023,0.0007930658805432866,-30.0,19.0,-107.0,-125.0,-88.0,-1.0
2023-11-28,2023,-0.002299936231466404,54.0,56.0,81.0,69.0,137.0,1.0
2023-11-29,2023,-0.005605312210006708,-23.0,56.0,-56.0,-61.0,0.0,-1.0
2023-11-30,2023,0.009415466537577188,60.0,-106.0,100.0,101.0,-6.0,1.0
2023-12-01,2023,-0.00766779632116299,-51.0,38.0,43.0,33.0,81.0,1.0
2023-12-04,2023,0.0036755822132965577,42.0,-39.0,-9.0,-7.0,-48.0,-1.0
2023-12-05,2023,-0.011992178200076475,-137.0,16.0,13.0,6.0,29.0,-1.0
2023-12-06,2023,-0.005696586380176782,52.0,73.0,-55.0,-60.0,18.0,1.0
2023-12-07,2023,-0.0072377736629996026,-59.0,5.0,-55.0,-60.0,-50.0,-1.0
2023-12-08,2023,0.027900444893055543,136.0,-15.0,-18.0,-15.0,-33.0,1.0
2023-12-11,2023,0.007105994865965526,58.0,-52.0,36.0,28.0,-16.0,1.0
2023-12-12,2023,0.03397303248131367,103.0,-32.0,-26.0,-42.0,-58.0,1.0
2023-12-13,2023,0.007121276961041811,34.0,5.0,-43.0,-51.0,-38.0,-1.0
2023-12-14,2023,0.01546239612435052,143.0,77.0,-13.0,-27.0,64.0,1.0
2023-12-15,2023,0.02669038700058901,103.0,-26.0,-68.0,-51.0,-94.0,1.0
2023-12-18,2023,0.004766355824447732,-8.0,-19.0,8.0,10.0,-11.0,-1.0
2023-12-19,2023,-0.0032086470731115257,-59.0,-51.0,32.0,38.0,-19.0,-1.0
2023-12-20,2023,0.005304852343809063,15.0,52.0,16.0,27.0,68.0,1.0
2023-12-21,2023,-0.02857793851016599,-219.0,46.0,45.0,46.0,91.0,-1.0
2023-12-22,2023,0.027679493769431573,35.0,2.0,-9.0,-3.0,-7.0,1.0
2023-12-25,2023,0.0034623499789976364,74.0,-8.0,-4.0,-8.0,-12.0,1.0
2023-12-26,2023,0.0034623499789976364,28.0,53.0,31.0,25.0,84.0,1.0
2023-12-27,2023,0.01805049784047319,25.0,51.0,48.0,54.0,99.0,1.0
2023-12-28,2023,0.0016969898632188674,-7.0,18.0,-5.0,-10.0,13.0,1.0
2023-12-29,2023,-0.001402271632590546,-12.0,33.0,-13.0,-9.0,20.0,1.0
2024-01-02,2024,-0.007890835131205032,-30.0,-32.0,-11.0,-14.0,-43.0,-1.0
2024-01-03,2024,-0.036506069975356104,-140.0,-73.0,-42.0,-40.0,-115.0,-1.0
2024-01-04,2024,-0.02034033964365256,-10.0,24.0,-9.0,-9.0,15.0,1.0
2024-01-05,2024,-0.008210676416633533,29.0,-20.0,-42.0,-43.0,-62.0,-1.0
2024-01-08,2024,0.006303644294357591,55.0,68.0,-41.0,-49.0,27.0,1.0
2024-01-09,2024,0.03279276164423961,173.0,-155.0,-71.0,-55.0,-226.0,-1.0
2024-01-10,2024,0.0005341564758472028,-34.0,-31.0,-21.0,-17.0,-52.0,-1.0
2024-01-11,2024,-0.0038896337938075787,31.0,17.0,68.0,65.0,85.0,1.0
2024-01-12,2024,0.004707521166556372,-104.0,60.0,-44.0,-27.0,16.0,-1.0
2024-01-15,2024,-0.0038029450084811067,82.0,-30.0,17.0,31.0,-13.0,1.0
2024-01-16,2024,-0.0038029450084811067,-65.0,-130.0,-28.0,-6.0,-158.0,-1.0
2024-01-17,2024,0.013204423025197087,9.0,-32.0,-74.0,-81.0,-106.0,-1.0
2024-01-18,2024,-0.00876534971285503,0.0,16.0,27.0,9.0,43.0,1.0
2024-01-19,2024,0.03355569478740539,256.0,46.0,97.0,88.0,143.0,1.0
2024-01-22,2024,0.04020663160997673,149.0,-9.0,0.0,-16.0,-9.0,1.0
2024-01-23,2024,0.0025024853450346107,-20.0,56.0,16.0,21.0,72.0,1.0
