date,a,b,c,vol,o10,o0845,c1344,long_E0,long_mid,long_ext,short_E0,short_mid,short_ext,rv,rc,yr,sox
2023-09-11,16577.0,16406.0,171.0,143484.0,16453.0,16566.0,16424.0,16453.0,16453.0,16426.0,16453.0,,,1.0465034863027687,1.6521739130434783,2023,-0.004500140978362
2023-09-12,16482.0,16413.0,69.0,106974.0,16453.0,16465.0,16569.0,16453.0,16447.5,,16453.0,16453.0,16462.0,0.7802170551681886,0.6666666666666666,2023,0.0009085835910924
2023-09-13,16645.0,16558.0,87.0,117462.0,16588.0,16569.0,16579.0,16588.0,16588.0,16578.0,16588.0,16601.5,,0.856711497505616,0.8405797101449275,2023,-0.0078840534232873
2023-09-14,16785.0,16674.0,111.0,130090.0,16764.0,16675.0,16840.0,16764.0,,,16764.0,16764.0,16765.0,0.9488140735770342,1.1746031746031746,2023,0.0054700671262237
2023-09-15,16865.0,16808.0,57.0,89944.0,16863.0,16846.0,16906.0,16863.0,16836.5,16828.0,16863.0,16863.0,16863.0,0.6672898582980933,0.6031746031746031,2023,0.0066761036495284
2023-09-18,16796.0,16734.0,62.0,98748.0,16780.0,16758.0,16707.0,16780.0,16765.0,16754.0,16780.0,16780.0,16780.0,0.7485672700809606,0.7209302325581395,2023,-0.0300873548851496
2023-09-19,16741.0,16676.0,65.0,86292.0,16681.0,16689.0,16607.0,16681.0,16681.0,16681.0,16681.0,16708.5,16721.0,0.6616064035329837,0.7692307692307693,2023,0.0046254879343226
2023-09-20,16657.0,16567.0,90.0,39842.0,16639.0,16618.0,16563.0,16639.0,16612.0,16587.0,16639.0,16639.0,16639.0,0.3164826435777266,1.0714285714285714,2023,-0.0095777486993445
2023-09-21,16485.0,16320.0,165.0,174134.0,16322.0,16484.0,16308.0,16322.0,16322.0,16322.0,16322.0,,,1.4562621261791664,1.9642857142857142,2023,-0.0174066643153263
2023-09-22,16306.0,16188.0,118.0,115808.0,16263.0,16200.0,16344.0,16263.0,,,16263.0,16263.0,16286.0,0.9684886599317589,1.4047619047619047,2023,-0.0176414686316681
2023-09-25,16445.0,16340.0,105.0,110748.0,16433.0,16360.0,16462.0,16433.0,,,16433.0,16433.0,16433.0,0.9495262999957131,1.242603550295858,2023,0.0079188942300492
2023-09-26,16409.0,16307.0,102.0,151672.0,16335.0,16407.0,16308.0,16335.0,16335.0,16327.0,16335.0,,,1.3389360687865253,1.186046511627907,2023,0.0071821447780131
2023-09-27,16324.0,16233.0,91.0,120604.0,16315.0,16243.0,16312.0,16315.0,16278.5,16253.0,16315.0,16315.0,16315.0,1.0646727519906778,1.058139534883721,2023,-0.0176547296619521
2023-09-28,16435.0,16341.0,94.0,145824.0,16382.0,16345.0,16370.0,16382.0,16382.0,16361.0,16382.0,16388.0,,1.2502593561109443,1.0621468926553672,2023,0.009547636066578
2023-10-02,16609.0,16504.0,105.0,135186.0,16580.0,16521.0,16558.0,16580.0,,,16580.0,16580.0,16589.0,1.1590517426158529,1.1864406779661016,2023,0.00388776348367
2023-10-03,16553.0,16477.0,76.0,109112.0,16532.0,16495.0,16411.0,16532.0,16515.0,16497.0,16532.0,16532.0,16533.0,0.9354996356153813,0.8587570621468926,2023,0.004239595374881
2023-10-04,16289.0,16164.0,125.0,170776.0,16249.0,16287.0,16245.0,16249.0,16226.5,,16249.0,16249.0,,1.507583114108653,1.4124293785310735,2023,-0.0209548110239644
2023-10-05,16413.0,16288.0,125.0,122400.0,16410.0,16300.0,16458.0,16410.0,,,16410.0,16410.0,16410.0,1.0494277018047755,1.3812154696132597,2023,0.014316260831966
2023-10-06,16548.0,16473.0,75.0,126546.0,16519.0,16480.0,16527.0,16519.0,16510.5,16493.0,16519.0,16519.0,16528.0,1.0631169507615534,0.8108108108108109,2023,-0.0052380785536596
2023-10-11,16828.0,16700.0,128.0,124534.0,16708.0,16800.0,16715.0,16708.0,16708.0,16708.0,16708.0,,,1.0462140750884208,1.3837837837837839,2023,0.0128974577126623
2023-10-12,16797.0,16725.0,72.0,103950.0,16763.0,16773.0,16850.0,16763.0,16761.0,,16763.0,16763.0,16777.0,0.8555414725683528,0.7346938775510204,2023,0.0073347057433363
2023-10-13,16800.0,16740.0,60.0,86218.0,16792.0,16749.0,16770.0,16792.0,16770.0,16760.0,16792.0,16792.0,16792.0,0.7243201465139919,0.6486486486486487,2023,0.0030498921655364
2023-10-16,16683.0,16622.0,61.0,104308.0,16652.0,16658.0,16647.0,16652.0,16652.0,16642.0,16652.0,16652.5,16663.0,0.8762948090025455,0.6594594594594595,2023,-0.0269541399191798
2023-10-17,16782.0,16710.0,72.0,82212.0,16743.0,16756.0,16653.0,16743.0,16743.0,16730.0,16743.0,16746.0,,0.6954976904725648,0.7783783783783784,2023,0.0143470693345151
2023-10-18,16649.0,16524.0,125.0,59038.0,16531.0,16649.0,16466.0,16531.0,16531.0,16531.0,16531.0,,,0.5211779868994862,1.3812154696132597,2023,-0.0079514405383568
2023-10-19,16483.0,16351.0,132.0,114780.0,16447.0,16351.0,16460.0,16447.0,16417.0,,16447.0,16447.0,16463.0,1.0132594148907996,1.427027027027027,2023,-0.0176161120800308
2023-10-20,16457.0,16255.0,202.0,184812.0,16299.0,16457.0,16415.0,16299.0,16299.0,,16299.0,16356.0,16437.0,1.6029628601661838,2.061224489795918,2023,-0.0133823550952847
2023-10-23,16365.0,16312.0,53.0,105040.0,16326.0,16350.0,16258.0,16326.0,16326.0,16326.0,16326.0,,,0.8886181750503358,0.5120772946859904,2023,-0.0153306193712753
2023-10-24,16287.0,16148.0,139.0,156452.0,16185.0,16272.0,16334.0,16185.0,16185.0,,16185.0,16217.5,16267.0,1.323553795915605,1.3429951690821256,2023,-0.0053073754425325
2023-10-25,16462.0,16361.0,101.0,117640.0,16460.0,16366.0,16357.0,16460.0,16411.5,,16460.0,16460.0,16460.0,0.9952117489805932,0.9758454106280193,2023,0.0137636651366968
2023-10-26,16176.0,16075.0,101.0,174686.0,16138.0,16152.0,16066.0,16138.0,16125.5,16095.0,16138.0,16138.0,,1.4664461644364601,0.9950738916256158,2023,-0.0412985878933234
2023-10-27,16208.0,16130.0,78.0,135406.0,16159.0,16139.0,16154.0,16159.0,16159.0,16150.0,16159.0,16169.0,16188.0,1.1144343302990898,0.7722772277227723,2023,-0.0054338332543109
2023-10-30,16237.0,16112.0,125.0,139640.0,16211.0,16115.0,16161.0,16211.0,16174.5,16132.0,16211.0,16211.0,16217.0,1.149281493308752,1.2820512820512822,2023,0.0121282641559141
2023-10-31,16197.0,16132.0,65.0,120530.0,16180.0,16187.0,15996.0,16180.0,16164.5,16152.0,16180.0,16180.0,16180.0,0.9762122672454988,0.6435643564356436,2023,-0.0129869324995585
2023-11-01,16120.0,16027.0,93.0,118284.0,16050.0,16094.0,16049.0,16050.0,16050.0,16047.0,16050.0,16073.5,,0.973811385995966,0.9207920792079208,2023,0.0096415273234164
2023-11-02,16354.0,16240.0,114.0,134490.0,16349.0,16243.0,16393.0,16349.0,,,16349.0,16349.0,16349.0,1.1263158776286148,1.175257731958763,2023,0.0233403505716924
2023-11-03,16504.0,16441.0,63.0,112132.0,16500.0,16495.0,16512.0,16500.0,,,16500.0,16500.0,16500.0,0.9231630510846746,0.6237623762376238,2023,0.0235767787417007
2023-11-06,16693.0,16625.0,68.0,110234.0,16693.0,16675.0,16673.0,16693.0,,,16693.0,16693.0,16693.0,0.9231787081159396,0.7010309278350515,2023,0.0255392543950792
2023-11-07,16696.0,16613.0,83.0,104848.0,16681.0,16630.0,16708.0,16681.0,16654.5,,16681.0,16681.0,16681.0,0.8888286058222139,0.9707602339181286,2023,-0.0028020853536041
2023-11-08,16777.0,16687.0,90.0,105708.0,16762.0,16730.0,16750.0,16762.0,,,16762.0,16762.0,16762.0,0.9096291196971,1.0227272727272727,2023,0.007712873270264
2023-11-09,16787.0,16697.0,90.0,102730.0,16739.0,16710.0,16765.0,16739.0,16739.0,16717.0,16739.0,16742.0,,0.9054611479340009,1.0404624277456647,2023,0.0003485565151262
2023-11-10,16698.0,16627.0,71.0,114654.0,16676.0,16667.0,16733.0,16676.0,16662.5,16647.0,16676.0,16676.0,16678.0,1.010559159497955,0.7888888888888889,2023,-0.0058542850314022
2023-11-13,16985.0,16884.0,101.0,121158.0,16896.0,16965.0,16874.0,16896.0,16896.0,16896.0,16896.0,,,1.0561468657653181,1.1222222222222222,2023,0.0403784100059667
2023-11-14,16967.0,16912.0,55.0,82628.0,16947.0,16964.0,16948.0,16947.0,16939.5,16932.0,16947.0,16947.0,16947.0,0.7110231477497634,0.6010928961748634,2023,-0.0097417964551999
2023-11-15,17214.0,17149.0,65.0,39798.0,17155.0,17199.0,17165.0,17155.0,17155.0,17155.0,17155.0,17181.5,,0.3424662249376129,0.7103825136612022,2023,0.0362184578618121
2023-11-16,17218.0,17136.0,82.0,89882.0,17135.0,17200.0,17187.0,17135.0,17135.0,17135.0,17135.0,,,0.7734446261079081,0.9111111111111111,2023,0.0071956305266214
2023-11-17,17237.0,17151.0,86.0,95164.0,17231.0,17154.0,17220.0,17231.0,17194.0,,17231.0,17231.0,17231.0,0.8193410075163371,0.9942196531791907,2023,0.0032353741423294
2023-11-20,17288.0,17156.0,132.0,123276.0,17189.0,17222.0,17198.0,17189.0,17189.0,17176.0,17189.0,,,1.0871570555501662,1.5621301775147929,2023,0.0065921967723745
2023-11-21,17400.0,17280.0,120.0,114118.0,17400.0,17285.0,17412.0,17400.0,,,17400.0,17400.0,17400.0,0.9825307584354309,1.3636363636363635,2023,0.0152481560028276
2023-11-22,17335.0,17280.0,55.0,81872.0,17327.0,17302.0,17286.0,17327.0,17307.5,17300.0,17327.0,17327.0,17327.0,0.7157519276834577,0.625,2023,-0.0191864543947281
2023-11-23,17323.0,17260.0,63.0,84440.0,17285.0,17267.0,17305.0,17285.0,17285.0,17280.0,17285.0,,,0.7464309392265194,0.7455621301775148,2023,0.0032602959180667
2023-11-24,17350.0,17271.0,79.0,81486.0,17296.0,17336.0,17290.0,17296.0,17296.0,17291.0,17296.0,17310.5,,0.7328998138204582,0.9575757575757575,2023,0.0032602959180667
2023-11-27,17360.0,17234.0,126.0,118574.0,17279.0,17260.0,17172.0,17279.0,17279.0,17254.0,17279.0,,,1.0982022950607107,1.5272727272727273,2023,0.0007930658805432
2023-11-28,17285.0,17195.0,90.0,96486.0,17282.0,17226.0,17363.0,17282.0,,,17282.0,17282.0,17282.0,0.8936288447823952,1.0909090909090908,2023,-0.0022999362314664
2023-11-29,17450.0,17335.0,115.0,124130.0,17396.0,17340.0,17340.0,17396.0,17392.5,17355.0,17396.0,17396.0,,1.1790687513060658,1.3609467455621302,2023,-0.0056053122100067
2023-11-30,17417.0,17294.0,123.0,126440.0,17294.0,17400.0,17394.0,17294.0,17294.0,17294.0,17294.0,17355.5,17397.0,1.201010657497293,1.455621301775148,2023,0.0094154665375771
2023-12-01,17394.0,17256.0,138.0,123006.0,17381.0,17343.0,17424.0,17381.0,,,17381.0,17381.0,17381.0,1.1683922566918064,1.6331360946745561,2023,-0.0076677963211629
2023-12-04,17492.0,17405.0,87.0,109342.0,17427.0,17466.0,17418.0,17427.0,17427.0,17425.0,17427.0,,,1.0386025570394575,0.9886363636363636,2023,0.0036755822132965
2023-12-05,17329.0,17234.0,95.0,133066.0,17297.0,17281.0,17310.0,17297.0,17281.5,17254.0,17297.0,17297.0,17309.0,1.2639487832215657,1.073446327683616,2023,-0.0119921782000764
2023-12-06,17435.0,17346.0,89.0,133484.0,17435.0,17362.0,17380.0,17435.0,17390.5,,17435.0,17435.0,17435.0,1.2414229249011857,0.9888888888888889,2023,-0.0056965863801767
2023-12-07,17370.0,17302.0,68.0,114854.0,17326.0,17321.0,17271.0,17326.0,17326.0,17322.0,17326.0,17336.0,17350.0,1.0279602613443122,0.7597765363128491,2023,-0.0072377736629996
2023-12-08,17470.0,17389.0,81.0,133436.0,17392.0,17407.0,17374.0,17392.0,17392.0,17392.0,17392.0,17429.5,,1.166541359956638,0.9204545454545454,2023,0.0279004448930555
2023-12-11,17457.0,17351.0,106.0,116346.0,17380.0,17432.0,17416.0,17380.0,17380.0,17371.0,17380.0,17404.0,,1.0162465279597506,1.2045454545454546,2023,0.0071059948659655
2023-12-12,17545.0,17486.0,59.0,97320.0,17487.0,17519.0,17461.0,17487.0,17487.0,17487.0,17487.0,,,0.8500602693779152,0.6704545454545454,2023,0.0339730324813136
2023-12-13,17519.0,17465.0,54.0,93958.0,17500.0,17495.0,17457.0,17500.0,17492.0,17485.0,17500.0,17500.0,17500.0,0.8206942333560435,0.6136363636363636,2023,0.0071212769610418
2023-12-14,17689.0,17595.0,94.0,142550.0,17677.0,17600.0,17664.0,17677.0,17642.0,17615.0,17677.0,17677.0,17677.0,1.2451304089583006,1.0681818181818181,2023,0.0154623961243505
2023-12-15,17774.0,17717.0,57.0,79116.0,17741.0,17767.0,17673.0,17741.0,17741.0,17737.0,17741.0,17745.5,17754.0,0.6843944636678201,0.6368715083798883,2023,0.026690387000589
2023-12-18,17672.0,17584.0,88.0,96356.0,17646.0,17665.0,17654.0,17646.0,17628.0,,17646.0,17646.0,17652.0,0.8335294117647059,0.9832402234636871,2023,0.0047663558244477
2023-12-19,17619.0,17536.0,83.0,95298.0,17544.0,17595.0,17576.0,17544.0,17544.0,17544.0,17544.0,,,0.8323987212410251,0.9378531073446328,2023,-0.0032086470731115
2023-12-20,17651.0,17590.0,61.0,35384.0,17643.0,17591.0,17659.0,17643.0,17620.5,17610.0,17643.0,17643.0,17643.0,0.3156523755999215,0.6971428571428572,2023,0.005304852343809
2023-12-21,17495.0,17414.0,81.0,111602.0,17486.0,17440.0,17531.0,17486.0,,,17486.0,17486.0,17486.0,0.9955753001837677,0.9257142857142857,2023,-0.0285779385101659
2023-12-22,17589.0,17542.0,47.0,86166.0,17568.0,17566.0,17559.0,17568.0,17565.5,17562.0,17568.0,17568.0,17569.0,0.7609955134772318,0.5371428571428571,2023,0.0276794937694315
2023-12-25,17665.0,17608.0,57.0,78416.0,17625.0,17633.0,17621.0,17625.0,17625.0,17625.0,17625.0,17636.5,17645.0,0.6925495460486806,0.6514285714285715,2023,0.0034623499789976
2023-12-26,17710.0,17633.0,77.0,81766.0,17702.0,17649.0,17733.0,17702.0,,,17702.0,17702.0,17702.0,0.7401513505684698,0.9058823529411765,2023,0.0034623499789976
2023-12-27,17821.0,17737.0,84.0,87954.0,17809.0,17758.0,17857.0,17809.0,,,17809.0,17809.0,17809.0,0.7961655442102976,1.024390243902439,2023,0.0180504978404731
2023-12-28,17888.0,17843.0,45.0,77422.0,17868.0,17850.0,17863.0,17868.0,17865.5,17863.0,17868.0,17868.0,17868.0,0.7492620801114864,0.5487804878048781,2023,0.0016969898632188
2023-12-29,17882.0,17828.0,54.0,65590.0,17884.0,17851.0,17871.0,17884.0,17855.0,17848.0,17884.0,17884.0,17884.0,0.6773167558189966,0.6666666666666666,2023,-0.0014022716325905
2024-01-02,17920.0,17794.0,126.0,141892.0,17809.0,17841.0,17798.0,17809.0,17809.0,17809.0,17809.0,,,1.4807100295323865,1.5949367088607596,2024,-0.007890835131205
2024-01-03,17667.0,17575.0,92.0,124110.0,17585.0,17658.0,17543.0,17585.0,17585.0,17585.0,17585.0,,,1.2951464618531312,1.1645569620253164,2024,-0.0365060699753561
2024-01-04,17583.0,17525.0,58.0,88398.0,17557.0,17533.0,17548.0,17557.0,17554.0,17545.0,17557.0,17557.0,17563.0,0.9224748766005405,0.7341772151898734,2024,-0.0203403396436525
2024-01-05,17625.0,17548.0,77.0,100110.0,17557.0,17577.0,17515.0,17557.0,17557.0,17557.0,17557.0,,,1.057932113116625,1.0620689655172413,2024,-0.0082106764166335
2024-01-08,17705.0,17568.0,137.0,155698.0,17638.0,17570.0,17597.0,17638.0,17636.5,17588.0,17638.0,17638.0,,1.6453692353214693,1.7792207792207793,2024,0.0063036442943575
2024-01-09,17782.0,17611.0,171.0,152064.0,17615.0,17770.0,17544.0,17615.0,17615.0,17615.0,17615.0,,,1.6069662256414592,2.220779220779221,2024,0.0327927616442396
2024-01-10,17522.0,17438.0,84.0,106810.0,17479.0,17510.0,17458.0,17479.0,17479.0,17458.0,17479.0,17480.0,17502.0,1.1287356807710192,1.0909090909090908,2024,0.0005341564758472
2024-01-11,17544.0,17481.0,63.0,104940.0,17506.0,17489.0,17574.0,17506.0,17506.0,17501.0,17506.0,17512.5,17524.0,1.1089740880077779,0.7974683544303798,2024,-0.0038896337938075
2024-01-12,17534.0,17447.0,87.0,99464.0,17530.0,17470.0,17486.0,17530.0,,,17530.0,17530.0,17530.0,1.0379538125997891,1.1012658227848102,2024,0.0047075211665563
2024-01-15,17656.0,17527.0,129.0,153260.0,17538.0,17568.0,17555.0,17538.0,17538.0,17538.0,17538.0,17591.5,17636.0,1.599340478153339,1.6329113924050633,2024,-0.0038029450084811
2024-01-16,17500.0,17283.0,217.0,166640.0,17360.0,17490.0,17332.0,17360.0,17360.0,,17360.0,17391.5,,1.7019711980390155,2.6463414634146343,2024,-0.0038029450084811
2024-01-17,17365.0,17298.0,67.0,52954.0,17309.0,17341.0,17235.0,17309.0,17309.0,17309.0,17309.0,,,0.5306703277982102,0.8170731707317073,2024,0.013204423025197
2024-01-18,17325.0,17216.0,109.0,155140.0,17251.0,17235.0,17278.0,17251.0,17251.0,17236.0,17251.0,17270.5,,1.5547115355707657,1.379746835443038,2024,-0.008765349712855
2024-01-19,17590.0,17505.0,85.0,160496.0,17580.0,17534.0,17677.0,17580.0,17547.5,,17580.0,17580.0,17580.0,1.5654328212631066,1.0303030303030303,2024,0.0335556947874053
2024-01-22,17843.0,17751.0,92.0,130160.0,17817.0,17826.0,17817.0,17817.0,17797.0,17771.0,17817.0,17817.0,17823.0,1.269544013655206,1.0952380952380953,2024,0.0402066316099767
2024-01-23,17872.0,17791.0,81.0,121546.0,17853.0,17797.0,17869.0,17853.0,17831.5,,17853.0,17853.0,17853.0,1.1480141676505313,0.9585798816568047,2024,0.0025024853450346
2024-01-24,17936.0,17877.0,59.0,89552.0,17927.0,17902.0,17896.0,17927.0,17906.5,17897.0,17927.0,17927.0,17927.0,0.7843192208656659,0.6982248520710059,2024,0.0065335339442849
2024-01-25,18030.0,17935.0,95.0,109686.0,17994.0,18025.0,17998.0,17994.0,17982.5,17955.0,17994.0,17994.0,18010.0,0.9606579200896845,1.1242603550295858,2024,0.0154169856361798
2024-01-26,18015.0,17935.0,80.0,96044.0,17990.0,17950.0,17999.0,17990.0,17975.0,,17990.0,17990.0,17995.0,0.8307154719070025,0.9302325581395349,2024,-0.0024691468172094
2024-01-29,18105.0,17971.0,134.0,117286.0,18102.0,18020.0,18124.0,18102.0,,,18102.0,18102.0,18102.0,1.014444367561583,1.558139534883721,2024,-0.0291038535326657
2024-01-30,18139.0,18072.0,67.0,88538.0,18119.0,18131.0,18080.0,18119.0,18105.5,18092.0,18119.0,18119.0,18119.0,0.7414249346821197,0.7486033519553073,2024,0.0106331037977016
2024-01-31,18002.0,17926.0,76.0,122030.0,17936.0,17983.0,17919.0,17936.0,17936.0,17936.0,17936.0,,,1.0752868195195884,0.8837209302325582,2024,-0.0155596624637956
2024-02-01,17993.0,17883.0,110.0,118774.0,17901.0,17978.0,17989.0,17901.0,17901.0,17901.0,17901.0,17938.0,,1.0465960559011684,1.301775147928994,2024,-0.0136736427630619
2024-02-02,18105.0,18023.0,82.0,94588.0,18042.0,18099.0,18084.0,18042.0,18042.0,18042.0,18042.0,18064.0,18085.0,0.8013894772515462,0.9534883720930233,2024,0.0045905579076817
2024-02-05,18042.0,17958.0,84.0,109024.0,18041.0,18014.0,18086.0,18041.0,,,18041.0,18041.0,18041.0,0.9236973650766754,0.9767441860465116,2024,0.0131410496019137
2024-02-15,18652.0,18522.0,130.0,163774.0,18574.0,18578.0,18667.0,18574.0,18574.0,,18574.0,18587.0,18632.0,1.4431207373596744,1.5384615384615385,2024,0.0217605378476246
2024-02-16,18725.0,18666.0,59.0,78102.0,18684.0,18666.0,18635.0,18684.0,18684.0,18684.0,18684.0,,,0.6882082371393828,0.6982248520710059,2024,-0.0016011705410904
2024-02-19,18692.0,18640.0,52.0,67520.0,18660.0,18675.0,18671.0,18660.0,18660.0,18660.0,18660.0,18666.0,18672.0,0.5949632553795182,0.6153846153846154,2024,-0.0066738333954937
2024-02-20,18737.0,18596.0,141.0,106106.0,18699.0,18634.0,18755.0,18699.0,,,18699.0,18699.0,18717.0,0.934969952240805,1.668639053254438,2024,-0.0066738333954937
2024-02-21,18754.0,18681.0,73.0,39240.0,18724.0,18751.0,18690.0,18724.0,18717.5,18701.0,18724.0,18724.0,18734.0,0.3457695222318171,0.863905325443787,2024,-0.015639356138243
2024-02-22,18895.0,18796.0,99.0,128414.0,18800.0,18837.0,18887.0,18800.0,18800.0,18800.0,18800.0,,,1.1742855836495816,1.1927710843373494,2024,-0.0023581571820583
2024-02-23,18998.0,18930.0,68.0,100542.0,18952.0,18990.0,18911.0,18952.0,18952.0,18950.0,18952.0,18964.0,18978.0,0.9194092634081661,0.8192771084337349,2024,0.049705826788654
2024-02-26,18943.0,18853.0,90.0,98910.0,18940.0,18915.0,18964.0,18940.0,,,18940.0,18940.0,18940.0,0.9044853916144666,1.0843373493975903,2024,-0.0112140241720712
2024-02-27,19019.0,18938.0,81.0,105736.0,18939.0,18955.0,18867.0,18939.0,18939.0,18939.0,18939.0,,,0.9829963278017942,0.9759036144578314,2024,0.0104961397867404
2024-02-29,18883.0,18804.0,79.0,98072.0,18846.0,18811.0,18966.0,18846.0,,,18846.0,18846.0,18863.0,0.925897602930486,0.9693251533742331,2024,-0.0112333481564548
2024-03-01,19016.0,18925.0,91.0,124114.0,18972.0,18969.0,18959.0,18972.0,18970.5,,18972.0,18972.0,18996.0,1.2033663308738693,1.123456790123457,2024,0.0270108199713206
2024-03-04,19293.0,19139.0,154.0,149092.0,19288.0,19148.0,19314.0,19288.0,,,19288.0,19288.0,19288.0,1.445544362462308,1.8895705521472392,2024,0.0428735836443181
2024-03-05,19406.0,19305.0,101.0,127366.0,19389.0,19372.0,19391.0,19389.0,,,19389.0,19389.0,19389.0,1.2024622124035838,1.216867469879518,2024,0.0106276802486215
2024-03-06,19412.0,19271.0,141.0,110512.0,19410.0,19279.0,19508.0,19410.0,,,19410.0,19410.0,19410.0,1.0433436240216765,1.6987951807228916,2024,-0.0205019299594337
2024-03-07,19750.0,19633.0,117.0,170014.0,19666.0,19690.0,19705.0,19666.0,19666.0,19653.0,19666.0,19691.5,,1.580569887974713,1.3448275862068966,2024,0.0242016627628423
2024-03-08,20009.0,19908.0,101.0,166946.0,19959.0,19928.0,19794.0,19959.0,19958.5,19928.0,19959.0,19959.0,19989.0,1.5520475991261098,1.160919540229885,2024,0.0335939078778613
2024-03-11,19824.0,19684.0,140.0,138876.0,19749.0,19694.0,19713.0,19749.0,19749.0,19704.0,19749.0,19754.0,,1.2651774651993295,1.5469613259668509,2024,-0.0402742637678746
2024-03-12,19807.0,19699.0,108.0,117588.0,19780.0,19713.0,19955.0,19780.0,,,19780.0,19780.0,19787.0,1.071241163180526,1.1368421052631579,2024,-0.0136311010169873
2024-03-13,20064.0,19936.0,128.0,159760.0,19955.0,19992.0,19928.0,19955.0,19955.0,19955.0,19955.0,,,1.4554332774579113,1.3473684210526315,2024,0.020921434706147
2024-03-14,19949.0,19800.0,149.0,171818.0,19924.0,19900.0,19938.0,19924.0,,,19924.0,19924.0,19929.0,1.5065146865409909,1.49,2024,-0.0247490741130214
2024-03-15,19873.0,19785.0,88.0,134688.0,19836.0,19827.0,19726.0,19836.0,19829.0,19805.0,19836.0,19836.0,,1.1144963632903326,0.8712871287128713,2024,-0.0175191776461044
2024-03-18,19821.0,19747.0,74.0,105008.0,19796.0,19786.0,19918.0,19796.0,19784.0,19767.0,19796.0,19796.0,19801.0,0.8689046842806432,0.74,2024,-0.0054226375257386
2024-03-19,19825.0,19740.0,85.0,123348.0,19803.0,19816.0,19867.0,19803.0,,,19803.0,19803.0,19805.0,1.020661806687574,0.85,2024,-2.3120366731022024e-05
2024-03-20,19970.0,19844.0,126.0,68246.0,19848.0,19856.0,19830.0,19848.0,19848.0,19848.0,19848.0,19907.0,,0.5515675133959962,1.26,2024,-0.0094144106272069
2024-03-21,20124.0,20028.0,96.0,149404.0,20097.0,20043.0,20265.0,20097.0,,,20097.0,20097.0,20104.0,1.2074904429771036,0.96,2024,0.0159925819203405
2024-03-22,20284.0,20166.0,118.0,127496.0,20170.0,20215.0,20240.0,20170.0,20170.0,20170.0,20170.0,,,1.0139653252743757,1.18,2024,0.0229105839797165
2024-03-25,20270.0,20188.0,82.0,96738.0,20217.0,20250.0,20226.0,20217.0,20217.0,,20217.0,20229.0,20250.0,0.7693494512486082,0.8118811881188119,2024,0.0021192842617623
2024-03-26,20459.0,20233.0,226.0,224476.0,20264.0,20275.0,20188.0,20264.0,20264.0,20253.0,20264.0,,,1.7852393828535071,2.237623762376238,2024,-0.0034166894174311
2024-03-27,20225.0,20147.0,78.0,117962.0,20213.0,20182.0,20261.0,20213.0,20186.0,20167.0,20213.0,20213.0,20213.0,0.9256931201983819,0.7464114832535885,2024,-0.0080977370903343
2024-03-28,20247.0,20083.0,164.0,153894.0,20174.0,20239.0,20203.0,20174.0,,,20174.0,20174.0,20227.0,1.20766532476399,1.569377990430622,2024,0.0099074997732837
2024-03-29,20279.0,20191.0,88.0,116178.0,20272.0,20220.0,20279.0,20272.0,,,20272.0,20272.0,20272.0,0.8862325694931804,0.7822222222222223,2024,0.0010734803416361
2024-04-01,20400.0,20304.0,96.0,134882.0,20305.0,20394.0,20289.0,20305.0,20305.0,20305.0,20305.0,,,1.0289109938058767,0.8533333333333334,2024,0.0010734803416361
2024-04-02,20452.0,20351.0,101.0,147794.0,20448.0,20355.0,20522.0,20448.0,,,20448.0,20448.0,20448.0,1.1274067067403044,0.9665071770334929,2024,0.0115978724662144
2024-04-03,20415.0,20290.0,125.0,175146.0,20298.0,20375.0,20351.0,20298.0,20298.0,20298.0,20298.0,20352.5,20395.0,1.2994472678710538,1.1961722488038278,2024,-0.0151468128413374
2024-04-08,20480.0,20375.0,105.0,124658.0,20473.0,20405.0,20451.0,20473.0,,,20473.0,20473.0,20473.0,0.9107167644415871,1.0047846889952152,2024,0.0132588460640823
2024-04-09,20734.0,20518.0,216.0,164512.0,20665.0,20539.0,20873.0,20665.0,,,20665.0,20665.0,20714.0,1.2205512482843046,2.0970873786407767,2024,0.001298989651659
2024-04-10,20863.0,20804.0,59.0,94282.0,20862.0,20821.0,20850.0,20862.0,20833.5,,20862.0,20862.0,20862.0,0.6994992024335052,0.5539906103286385,2024,0.0094127106824526
2024-04-11,20745.0,20652.0,93.0,133826.0,20731.0,20705.0,20752.0,20731.0,20698.5,20672.0,20731.0,20731.0,20731.0,1.0208555823391205,0.9029126213592233,2024,-0.0165188130926888
2024-04-12,20758.0,20681.0,77.0,112394.0,20737.0,20746.0,20752.0,20737.0,,,20737.0,20737.0,20738.0,0.8371556045494835,0.7817258883248731,2024,0.0242195246693872
