date,yr,tp,sl,pnl,how
2005-01-03,2005,0.0075,0.005,3.430000000000291,close
2005-01-03,2005,0.0075,0.0075,3.430000000000291,close
2005-01-03,2005,0.0075,0.01,3.430000000000291,close
2005-01-03,2005,0.0075,0.015,3.430000000000291,close
2005-01-03,2005,0.0075,0.0,3.430000000000291,close
2005-01-03,2005,0.01,0.005,3.430000000000291,close
2005-01-03,2005,0.01,0.0075,3.430000000000291,close
2005-01-03,2005,0.01,0.01,3.430000000000291,close
2005-01-03,2005,0.01,0.015,3.430000000000291,close
2005-01-03,2005,0.01,0.0,3.430000000000291,close
2005-01-03,2005,0.015,0.005,3.430000000000291,close
2005-01-03,2005,0.015,0.0075,3.430000000000291,close
2005-01-03,2005,0.015,0.01,3.430000000000291,close
2005-01-03,2005,0.015,0.015,3.430000000000291,close
2005-01-03,2005,0.015,0.0,3.430000000000291,close
2005-01-03,2005,0.0,0.005,3.430000000000291,close
2005-01-03,2005,0.0,0.0075,3.430000000000291,close
2005-01-03,2005,0.0,0.01,3.430000000000291,close
2005-01-03,2005,0.0,0.015,3.430000000000291,close
2005-01-03,2005,0.0,0.0,3.430000000000291,close
2005-01-06,2005,0.0075,0.005,6.25,close
2005-01-06,2005,0.0075,0.0075,6.25,close
2005-01-06,2005,0.0075,0.01,6.25,close
2005-01-06,2005,0.0075,0.015,6.25,close
2005-01-06,2005,0.0075,0.0,6.25,close
2005-01-06,2005,0.01,0.005,6.25,close
2005-01-06,2005,0.01,0.0075,6.25,close
2005-01-06,2005,0.01,0.01,6.25,close
2005-01-06,2005,0.01,0.015,6.25,close
2005-01-06,2005,0.01,0.0,6.25,close
2005-01-06,2005,0.015,0.005,6.25,close
2005-01-06,2005,0.015,0.0075,6.25,close
2005-01-06,2005,0.015,0.01,6.25,close
2005-01-06,2005,0.015,0.015,6.25,close
2005-01-06,2005,0.015,0.0,6.25,close
2005-01-06,2005,0.0,0.005,6.25,close
2005-01-06,2005,0.0,0.0075,6.25,close
2005-01-06,2005,0.0,0.01,6.25,close
2005-01-06,2005,0.0,0.015,6.25,close
2005-01-06,2005,0.0,0.0,6.25,close
2005-01-10,2005,0.0075,0.005,6.860000000000582,close
2005-01-10,2005,0.0075,0.0075,6.860000000000582,close
2005-01-10,2005,0.0075,0.01,6.860000000000582,close
2005-01-10,2005,0.0075,0.015,6.860000000000582,close
2005-01-10,2005,0.0075,0.0,6.860000000000582,close
2005-01-10,2005,0.01,0.005,6.860000000000582,close
2005-01-10,2005,0.01,0.0075,6.860000000000582,close
2005-01-10,2005,0.01,0.01,6.860000000000582,close
2005-01-10,2005,0.01,0.015,6.860000000000582,close
2005-01-10,2005,0.01,0.0,6.860000000000582,close
