side,k,n,winrate,avg,total,pf,tgt,stop,close
long,10,21,0.19,-20.95,-440.0,0.75,0.143,0.81,0.048
long,20,21,0.19,-21.43,-450.0,0.74,0.143,0.81,0.048
long,30,21,0.143,-30.57,-642.0,0.65,0.143,0.857,0.0
long,40,22,0.136,-33.82,-744.0,0.62,0.136,0.864,0.0
long,50,23,0.13,-36.78,-846.0,0.59,0.13,0.87,0.0
long,60,23,0.13,-36.78,-846.0,0.59,0.13,0.87,0.0
long,70,23,0.087,-58.52,-1346.0,0.37,0.087,0.913,0.0
long,80,24,0.125,-54.62,-1311.0,0.39,0.042,0.875,0.083
long,90,24,0.083,-69.38,-1665.0,0.26,0.042,0.917,0.042
long,100,25,0.12,-59.04,-1476.0,0.34,0.04,0.88,0.08
long,110,25,0.12,-59.84,-1496.0,0.33,0.04,0.88,0.08
long,120,25,0.12,-60.64,-1516.0,0.32,0.04,0.88,0.08
long,130,27,0.185,-41.26,-1114.0,0.5,0.074,0.815,0.111
long,140,29,0.241,-24.38,-707.0,0.68,0.103,0.759,0.138
long,150,30,0.233,-28.3,-849.0,0.64,0.1,0.767,0.133
short,10,22,0.318,33.23,731.0,1.48,0.182,0.682,0.136
short,20,22,0.318,31.86,701.0,1.46,0.182,0.682,0.136
short,30,22,0.273,7.77,171.0,1.1,0.136,0.727,0.136
short,40,22,0.182,-32.5,-715.0,0.61,0.091,0.818,0.091
short,50,22,0.182,-33.41,-735.0,0.6,0.091,0.818,0.091
short,60,23,0.217,-15.52,-357.0,0.81,0.13,0.783,0.087
short,70,23,0.217,-16.22,-373.0,0.8,0.13,0.783,0.087
short,80,23,0.217,-16.65,-383.0,0.79,0.13,0.783,0.087
short,90,23,0.174,-28.39,-653.0,0.66,0.13,0.826,0.043
short,100,23,0.174,-28.39,-653.0,0.66,0.13,0.826,0.043
short,110,23,0.13,-50.13,-1153.0,0.43,0.087,0.87,0.043
short,120,23,0.13,-50.13,-1153.0,0.43,0.087,0.87,0.043
short,130,24,0.167,-41.0,-984.0,0.52,0.083,0.833,0.083
short,140,25,0.2,-23.84,-596.0,0.71,0.12,0.8,0.08
short,150,25,0.2,-24.24,-606.0,0.7,0.12,0.8,0.08
