d,side,k,n,winrate,avg,pf,pct_target,pct_stop,pct_close
0,long,10,351,0.4046,-4.37,0.9,0.028,0.353,0.618
0,long,20,393,0.4071,-5.76,0.87,0.025,0.344,0.631
0,long,30,417,0.3885,-7.97,0.82,0.022,0.353,0.626
0,long,40,448,0.3996,-7.18,0.84,0.02,0.357,0.623
0,long,50,477,0.3962,-4.91,0.89,0.019,0.361,0.621
0,long,60,497,0.3984,-5.8,0.87,0.018,0.36,0.622
0,long,70,521,0.3935,-7.91,0.82,0.015,0.363,0.622
0,long,80,537,0.4004,-6.98,0.85,0.015,0.369,0.616
0,long,90,556,0.4065,-5.99,0.87,0.014,0.367,0.619
0,long,100,574,0.4181,-4.45,0.9,0.016,0.362,0.622
0,long,110,583,0.4151,-5.25,0.88,0.014,0.362,0.624
0,long,120,594,0.4192,-5.24,0.88,0.013,0.359,0.628
0,long,130,610,0.4295,-3.51,0.92,0.015,0.356,0.63
0,long,140,618,0.4256,-3.8,0.91,0.016,0.359,0.625
0,long,150,626,0.4249,-4.02,0.91,0.014,0.361,0.625
0,short,10,354,0.3898,-4.39,0.9,0.028,0.345,0.627
0,short,20,406,0.4138,-2.1,0.95,0.025,0.337,0.638
0,short,30,442,0.4163,-2.31,0.95,0.018,0.337,0.645
0,short,40,469,0.4158,-5.14,0.88,0.017,0.35,0.633
0,short,50,507,0.4162,-3.75,0.91,0.016,0.339,0.645
0,short,60,538,0.4257,0.66,1.02,0.022,0.338,0.639
0,short,70,556,0.4155,2.25,1.05,0.027,0.342,0.631
0,short,80,577,0.4229,1.78,1.04,0.024,0.34,0.636
0,short,90,589,0.4261,2.03,1.05,0.025,0.34,0.635
0,short,100,602,0.4219,1.57,1.04,0.027,0.346,0.628
0,short,110,620,0.4274,1.77,1.04,0.026,0.344,0.631
0,short,120,630,0.4286,1.67,1.04,0.025,0.352,0.622
0,short,130,641,0.4353,3.09,1.07,0.027,0.346,0.627
0,short,140,644,0.4363,2.62,1.06,0.028,0.351,0.621
0,short,150,652,0.4387,4.38,1.1,0.031,0.347,0.623
50,long,10,349,0.4011,-4.43,0.9,0.029,0.355,0.616
50,long,20,391,0.4092,-5.77,0.87,0.026,0.345,0.629
50,long,30,415,0.3904,-7.96,0.82,0.022,0.354,0.624
50,long,40,446,0.4013,-7.17,0.84,0.02,0.359,0.621
50,long,50,475,0.3979,-4.89,0.89,0.019,0.362,0.619
50,long,60,495,0.4,-5.78,0.87,0.018,0.362,0.62
50,long,70,519,0.395,-7.91,0.82,0.015,0.364,0.62
50,long,80,535,0.4019,-6.97,0.85,0.015,0.37,0.615
50,long,90,554,0.4079,-5.98,0.87,0.014,0.368,0.617
50,long,100,572,0.4196,-4.44,0.9,0.016,0.364,0.621
50,long,110,581,0.4165,-5.23,0.88,0.014,0.363,0.623
50,long,120,592,0.4206,-5.23,0.88,0.014,0.36,0.627
50,long,130,608,0.4309,-3.5,0.92,0.015,0.357,0.628
50,long,140,616,0.4269,-3.78,0.91,0.016,0.36,0.623
50,long,150,624,0.4263,-4.0,0.91,0.014,0.362,0.623
50,short,10,353,0.3881,-4.45,0.9,0.028,0.346,0.626
50,short,20,404,0.4109,-2.13,0.95,0.025,0.339,0.636
50,short,30,440,0.4136,-2.34,0.95,0.018,0.339,0.643
50,short,40,467,0.4133,-5.19,0.88,0.017,0.351,0.632
50,short,50,505,0.4139,-3.78,0.91,0.016,0.341,0.644
50,short,60,536,0.4235,0.65,1.02,0.022,0.34,0.638
50,short,70,554,0.4134,2.24,1.05,0.027,0.343,0.63
50,short,80,575,0.4209,1.77,1.04,0.024,0.341,0.635
50,short,90,587,0.4242,2.02,1.05,0.026,0.341,0.634
50,short,100,600,0.42,1.56,1.04,0.027,0.347,0.627
50,short,110,618,0.4256,1.76,1.04,0.026,0.345,0.629
50,short,120,628,0.4268,1.66,1.04,0.025,0.354,0.621
50,short,130,639,0.4335,3.08,1.07,0.027,0.347,0.626
50,short,140,642,0.4346,2.61,1.06,0.028,0.352,0.62
50,short,150,650,0.4369,4.38,1.1,0.031,0.348,0.622
100,long,10,285,0.393,-3.03,0.94,0.035,0.421,0.544
100,long,20,304,0.3914,-5.72,0.88,0.033,0.421,0.546
100,long,30,323,0.3808,-7.54,0.85,0.028,0.424,0.548
100,long,40,344,0.3866,-7.38,0.85,0.026,0.427,0.547
100,long,50,368,0.3886,-4.24,0.92,0.024,0.432,0.543
100,long,60,382,0.3874,-5.49,0.89,0.024,0.435,0.542
100,long,70,400,0.385,-8.86,0.83,0.02,0.438,0.542
100,long,80,414,0.3937,-7.65,0.85,0.019,0.444,0.536
100,long,90,432,0.4005,-6.47,0.87,0.019,0.44,0.542
