side,k,n,winrate,avg,total,med,max_loss,pf,t,tgt
long,10,49,0.551,-48.53,-2378.0,77.0,-1191.0,0.69,-0.99,0.327
long,20,49,0.551,-55.47,-2718.0,67.0,-1201.0,0.65,-1.12,0.306
long,30,49,0.531,-67.2,-3293.0,48.0,-1211.0,0.59,-1.36,0.286
long,40,51,0.569,-60.0,-3060.0,52.0,-1221.0,0.62,-1.24,0.294
long,50,53,0.547,-62.21,-3297.0,42.0,-1231.0,0.61,-1.32,0.302
long,60,54,0.556,-61.8,-3337.0,35.5,-1241.0,0.61,-1.31,0.315
long,70,55,0.564,-61.25,-3369.0,29.0,-1251.0,0.62,-1.3,0.291
long,80,58,0.569,-52.83,-3064.0,53.0,-1261.0,0.66,-1.16,0.31
long,90,59,0.525,-64.27,-3792.0,9.0,-1271.0,0.6,-1.43,0.288
long,100,63,0.524,-46.79,-2948.0,58.0,-1281.0,0.7,-1.07,0.333
long,110,63,0.524,-50.56,-3185.0,48.0,-1291.0,0.68,-1.15,0.333
long,120,63,0.524,-54.05,-3405.0,38.0,-1301.0,0.66,-1.22,0.333
long,130,67,0.537,-44.97,-3013.0,50.0,-1311.0,0.7,-1.06,0.343
long,140,69,0.551,-39.67,-2737.0,66.0,-1321.0,0.74,-0.95,0.362
long,150,71,0.563,-36.1,-2563.0,81.0,-1331.0,0.76,-0.88,0.366
short,10,53,0.509,23.47,1244.0,44.0,-500.0,1.27,0.76,0.377
short,20,55,0.509,19.91,1095.0,34.0,-510.0,1.22,0.65,0.382
short,30,55,0.509,13.58,747.0,26.0,-520.0,1.14,0.44,0.382
short,40,56,0.518,7.21,404.0,32.0,-530.0,1.07,0.24,0.357
short,50,57,0.509,-1.25,-71.0,26.0,-540.0,0.99,-0.04,0.351
short,60,61,0.541,11.41,696.0,62.0,-550.0,1.12,0.38,0.393
short,70,64,0.562,22.17,1419.0,71.0,-560.0,1.23,0.74,0.438
short,80,64,0.562,23.28,1490.0,87.0,-570.0,1.24,0.78,0.438
short,90,65,0.569,24.25,1576.0,93.0,-580.0,1.25,0.81,0.446
short,100,65,0.585,29.65,1927.0,118.0,-590.0,1.31,0.99,0.446
short,110,67,0.597,31.27,2095.0,108.0,-600.0,1.33,1.06,0.448
short,120,67,0.597,26.15,1752.0,93.0,-610.0,1.27,0.89,0.433
short,130,68,0.603,27.15,1846.0,92.0,-613.0,1.29,0.92,0.426
short,140,69,0.609,29.01,2002.0,93.0,-613.0,1.31,0.99,0.435
short,150,70,0.6,22.44,1571.0,92.0,-613.0,1.23,0.76,0.429
