side,c_min,filt,k,tgt,n,winrate,avg,total,max_loss,pf,t,tgt_hit
short,0,無,10,100,354,0.5,-6.4,-2264.0,-500.0,0.84,-1.27,0.28
short,0,無,10,150,354,0.469,-5.62,-1988.0,-500.0,0.87,-0.99,0.184
short,0,無,10,200,354,0.46,-3.75,-1328.0,-500.0,0.92,-0.61,0.13
short,0,無,10,250,354,0.452,-5.39,-1907.0,-500.0,0.89,-0.84,0.076
short,0,無,20,100,406,0.525,-1.89,-768.0,-510.0,0.95,-0.41,0.3
short,0,無,20,150,406,0.48,-6.14,-2492.0,-510.0,0.86,-1.15,0.17
short,0,無,20,200,406,0.478,-3.3,-1338.0,-510.0,0.93,-0.58,0.111
short,0,無,20,250,406,0.47,-4.42,-1796.0,-510.0,0.9,-0.75,0.071
short,0,無,30,100,442,0.529,-0.39,-173.0,-520.0,0.99,-0.09,0.308
short,0,無,30,150,442,0.491,-2.85,-1259.0,-520.0,0.93,-0.55,0.188
short,0,無,30,200,442,0.489,-0.66,-293.0,-520.0,0.98,-0.12,0.12
short,0,無,30,250,442,0.477,-2.9,-1280.0,-520.0,0.94,-0.51,0.072
short,0,無,40,100,469,0.51,-4.61,-2162.0,-530.0,0.88,-1.07,0.271
short,0,無,40,150,469,0.482,-4.88,-2291.0,-530.0,0.89,-0.98,0.179
short,0,無,40,200,469,0.48,-3.23,-1514.0,-530.0,0.93,-0.61,0.111
short,0,無,40,250,469,0.471,-4.39,-2060.0,-530.0,0.9,-0.8,0.07
short,0,無,50,100,507,0.525,-2.5,-1270.0,-376.0,0.93,-0.61,0.288
short,0,無,50,150,507,0.493,-3.65,-1850.0,-540.0,0.92,-0.76,0.185
short,0,無,50,200,507,0.485,-3.66,-1857.0,-540.0,0.92,-0.71,0.107
short,0,無,50,250,507,0.481,-3.54,-1793.0,-540.0,0.92,-0.67,0.069
short,0,無,60,100,538,0.528,-2.48,-1336.0,-550.0,0.94,-0.6,0.303
short,0,無,60,150,538,0.498,-1.77,-952.0,-550.0,0.96,-0.37,0.197
short,0,無,60,200,538,0.487,-1.97,-1059.0,-550.0,0.96,-0.39,0.119
short,0,無,60,250,538,0.485,-0.32,-171.0,-550.0,0.99,-0.06,0.082
short,0,無,70,100,556,0.531,-2.47,-1373.0,-560.0,0.94,-0.6,0.308
short,0,無,70,150,556,0.502,-1.04,-576.0,-560.0,0.98,-0.22,0.203
short,0,無,70,200,556,0.491,-0.26,-144.0,-560.0,0.99,-0.05,0.129
short,0,無,70,250,556,0.486,0.95,529.0,-560.0,1.02,0.18,0.092
short,0,無,80,100,577,0.523,-3.99,-2300.0,-570.0,0.9,-0.99,0.298
short,0,無,80,150,577,0.497,-1.01,-585.0,-570.0,0.98,-0.22,0.203
short,0,無,80,200,577,0.487,-0.33,-190.0,-570.0,0.99,-0.07,0.13
short,0,無,80,250,577,0.482,1.3,751.0,-570.0,1.03,0.25,0.092
short,0,無,90,100,589,0.521,-4.4,-2594.0,-580.0,0.89,-1.1,0.297
short,0,無,90,150,589,0.499,-1.24,-730.0,-580.0,0.97,-0.27,0.209
short,0,無,90,200,589,0.489,-0.12,-72.0,-580.0,1.0,-0.02,0.131
short,0,無,90,250,589,0.484,0.47,275.0,-580.0,1.01,0.09,0.088
short,0,無,100,100,602,0.527,-3.7,-2229.0,-590.0,0.91,-0.94,0.304
short,0,無,100,150,602,0.502,-1.4,-843.0,-590.0,0.97,-0.3,0.208
short,0,無,100,200,602,0.493,0.49,297.0,-590.0,1.01,0.1,0.133
short,0,無,100,250,602,0.487,0.81,487.0,-590.0,1.02,0.16,0.088
short,0,無,110,100,620,0.539,-2.22,-1378.0,-600.0,0.94,-0.57,0.31
short,0,無,110,150,620,0.508,-0.9,-555.0,-600.0,0.98,-0.2,0.21
short,0,無,110,200,620,0.498,1.02,631.0,-600.0,1.02,0.21,0.131
short,0,無,110,250,620,0.492,0.82,506.0,-600.0,1.02,0.16,0.084
short,0,無,120,100,630,0.541,-1.65,-1038.0,-610.0,0.96,-0.42,0.317
short,0,無,120,150,630,0.51,-0.81,-512.0,-610.0,0.98,-0.18,0.206
short,0,無,120,200,630,0.497,-0.0,-2.0,-610.0,1.0,-0.0,0.127
short,0,無,120,250,630,0.494,0.2,126.0,-610.0,1.0,0.04,0.079
short,0,無,130,100,641,0.549,-0.07,-48.0,-613.0,1.0,-0.02,0.331
short,0,無,130,150,641,0.516,0.44,285.0,-613.0,1.01,0.1,0.212
short,0,無,130,200,641,0.502,1.24,792.0,-613.0,1.03,0.26,0.134
short,0,無,130,250,641,0.499,0.88,563.0,-613.0,1.02,0.18,0.08
short,0,無,140,100,644,0.548,-0.68,-441.0,-613.0,0.98,-0.18,0.328
short,0,無,140,150,644,0.514,-0.41,-261.0,-613.0,0.99,-0.09,0.21
short,0,無,140,200,644,0.502,0.54,345.0,-613.0,1.01,0.11,0.134
short,0,無,140,250,644,0.498,0.41,264.0,-613.0,1.01,0.08,0.081
short,0,無,150,100,652,0.554,0.23,150.0,-613.0,1.01,0.06,0.336
short,0,無,150,150,652,0.517,-0.05,-35.0,-613.0,1.0,-0.01,0.213
short,0,無,150,200,652,0.506,1.39,904.0,-613.0,1.03,0.29,0.137
short,0,無,150,250,652,0.502,0.68,445.0,-613.0,1.01,0.14,0.086
short,0,前日反向,10,100,201,0.552,4.38,881.0,-336.0,1.14,0.72,0.294
short,0,前日反向,10,150,201,0.522,6.4,1287.0,-355.0,1.18,0.91,0.194
short,0,前日反向,10,200,201,0.512,7.34,1476.0,-368.0,1.19,0.93,0.134
short,0,前日反向,10,250,201,0.507,7.4,1487.0,-368.0,1.19,0.91,0.08
short,0,前日反向,20,100,232,0.565,7.18,1665.0,-346.0,1.23,1.26,0.315
short,0,前日反向,20,150,232,0.517,3.25,755.0,-378.0,1.09,0.49,0.172
short,0,前日反向,20,200,232,0.517,7.12,1651.0,-378.0,1.19,0.99,0.112
short,0,前日反向,20,250,232,0.513,7.69,1784.0,-378.0,1.2,1.03,0.078
short,0,前日反向,30,100,251,0.57,7.53,1891.0,-356.0,1.24,1.37,0.315
short,0,前日反向,30,150,251,0.53,4.98,1249.0,-388.0,1.14,0.77,0.183
short,0,前日反向,30,200,251,0.526,7.02,1763.0,-388.0,1.19,1.02,0.116
short,0,前日反向,30,250,251,0.518,6.52,1637.0,-388.0,1.17,0.91,0.076
short,0,前日反向,40,100,265,0.54,2.0,531.0,-366.0,1.06,0.38,0.26
short,0,前日反向,40,150,265,0.513,1.11,295.0,-397.0,1.03,0.18,0.166
short,0,前日反向,40,200,265,0.513,4.25,1125.0,-397.0,1.11,0.64,0.102
short,0,前日反向,40,250,265,0.506,3.17,841.0,-397.0,1.08,0.46,0.068
short,0,前日反向,50,100,287,0.547,1.26,363.0,-376.0,1.04,0.24,0.272
short,0,前日反向,50,150,287,0.516,0.86,248.0,-397.0,1.02,0.14,0.174
short,0,前日反向,50,200,287,0.505,0.85,244.0,-397.0,1.02,0.13,0.094
short,0,前日反向,50,250,287,0.505,2.12,608.0,-397.0,1.05,0.32,0.066
short,0,前日反向,60,100,307,0.557,3.1,951.0,-386.0,1.09,0.62,0.29
short,0,前日反向,60,150,307,0.524,3.46,1063.0,-397.0,1.09,0.59,0.192
short,0,前日反向,60,200,307,0.515,3.87,1187.0,-397.0,1.1,0.61,0.107
short,0,前日反向,60,250,307,0.515,5.78,1775.0,-397.0,1.15,0.88,0.078
short,0,前日反向,70,100,316,0.551,1.38,437.0,-396.0,1.04,0.27,0.285
short,0,前日反向,70,150,316,0.525,3.45,1090.0,-397.0,1.09,0.59,0.193
short,0,前日反向,70,200,316,0.516,4.99,1578.0,-397.0,1.13,0.79,0.117
short,0,前日反向,70,250,316,0.513,6.24,1971.0,-397.0,1.16,0.94,0.085
short,0,前日反向,80,100,331,0.55,0.78,257.0,-406.0,1.02,0.16,0.275
short,0,前日反向,80,150,331,0.529,4.2,1390.0,-406.0,1.11,0.73,0.196
short,0,前日反向,80,200,331,0.523,6.5,2150.0,-406.0,1.17,1.05,0.121
short,0,前日反向,80,250,331,0.517,7.71,2553.0,-406.0,1.2,1.19,0.088
short,0,前日反向,90,100,338,0.547,0.07,25.0,-416.0,1.0,0.02,0.275
short,0,前日反向,90,150,338,0.53,4.31,1457.0,-416.0,1.11,0.75,0.201
short,0,前日反向,90,200,338,0.521,5.22,1765.0,-416.0,1.13,0.86,0.112
short,0,前日反向,90,250,338,0.518,6.36,2148.0,-416.0,1.16,1.0,0.08
short,0,前日反向,100,100,346,0.555,1.93,668.0,-426.0,1.06,0.4,0.289
short,0,前日反向,100,150,346,0.532,4.89,1691.0,-426.0,1.13,0.86,0.202
short,0,前日反向,100,200,346,0.526,7.06,2443.0,-426.0,1.18,1.17,0.118
short,0,前日反向,100,250,346,0.52,7.68,2658.0,-426.0,1.2,1.22,0.084
short,0,前日反向,110,100,356,0.562,3.13,1116.0,-436.0,1.09,0.66,0.295
short,0,前日反向,110,150,356,0.534,5.61,1997.0,-436.0,1.15,1.0,0.202
short,0,前日反向,110,200,356,0.525,7.59,2703.0,-436.0,1.2,1.28,0.118
short,0,前日反向,110,250,356,0.52,8.28,2946.0,-436.0,1.21,1.34,0.084
short,0,前日反向,120,100,360,0.558,3.16,1137.0,-446.0,1.09,0.66,0.3
short,0,前日反向,120,150,360,0.531,4.96,1786.0,-446.0,1.13,0.89,0.194
short,0,前日反向,120,200,360,0.517,5.48,1972.0,-446.0,1.14,0.93,0.114
short,0,前日反向,120,250,360,0.517,6.98,2512.0,-446.0,1.18,1.14,0.078
short,0,前日反向,130,100,364,0.566,4.62,1680.0,-456.0,1.14,0.97,0.31
short,0,前日反向,130,150,364,0.536,5.86,2134.0,-456.0,1.15,1.05,0.201
short,0,前日反向,130,200,364,0.519,6.22,2263.0,-456.0,1.16,1.05,0.121
short,0,前日反向,130,250,364,0.519,7.21,2626.0,-456.0,1.18,1.18,0.08
short,0,前日反向,140,100,366,0.563,4.13,1512.0,-466.0,1.12,0.87,0.309
short,0,前日反向,140,150,366,0.533,5.43,1988.0,-466.0,1.14,0.97,0.197
short,0,前日反向,140,200,366,0.516,5.72,2095.0,-466.0,1.14,0.97,0.12
short,0,前日反向,140,250,366,0.516,6.63,2428.0,-466.0,1.17,1.08,0.079
short,0,前日反向,150,100,370,0.565,4.58,1693.0,-476.0,1.13,0.97,0.314
short,0,前日反向,150,150,370,0.532,5.26,1945.0,-476.0,1.14,0.94,0.2
short,0,前日反向,150,200,370,0.519,6.15,2275.0,-476.0,1.15,1.04,0.124
short,0,前日反向,150,250,370,0.516,5.65,2089.0,-476.0,1.14,0.91,0.081
short,200,無,10,100,129,0.612,5.92,764.0,-500.0,1.13,0.56,0.488
short,200,無,10,150,129,0.527,3.74,482.0,-500.0,1.07,0.3,0.357
short,200,無,10,200,129,0.504,7.96,1027.0,-500.0,1.13,0.57,0.279
short,200,無,10,250,129,0.481,4.69,605.0,-500.0,1.07,0.32,0.194
short,200,無,20,100,137,0.628,8.88,1216.0,-510.0,1.2,0.87,0.518
short,200,無,20,150,137,0.518,-5.23,-716.0,-510.0,0.92,-0.42,0.336
short,200,無,20,200,137,0.511,4.7,644.0,-510.0,1.08,0.35,0.263
short,200,無,20,250,137,0.489,1.11,152.0,-510.0,1.02,0.08,0.19
short,200,無,30,100,143,0.643,10.88,1556.0,-520.0,1.25,1.09,0.524
short,200,無,30,150,143,0.538,-1.8,-257.0,-520.0,0.97,-0.15,0.35
short,200,無,30,200,143,0.531,6.6,944.0,-520.0,1.11,0.49,0.273
short,200,無,30,250,143,0.497,-1.32,-189.0,-520.0,0.98,-0.09,0.182
short,200,無,40,100,148,0.608,3.59,532.0,-530.0,1.08,0.36,0.473
short,200,無,40,150,148,0.52,-6.07,-899.0,-530.0,0.9,-0.51,0.324
short,200,無,40,200,148,0.514,0.75,111.0,-530.0,1.01,0.06,0.25
short,200,無,40,250,148,0.486,-4.07,-602.0,-530.0,0.94,-0.29,0.176
short,200,無,50,100,154,0.604,5.23,805.0,-376.0,1.11,0.56,0.481
short,200,無,50,150,154,0.506,-6.23,-960.0,-540.0,0.9,-0.52,0.338
short,200,無,50,200,154,0.487,-3.81,-586.0,-540.0,0.94,-0.29,0.247
short,200,無,50,250,154,0.474,-4.08,-628.0,-540.0,0.94,-0.3,0.182
short,200,無,60,100,167,0.605,4.65,776.0,-550.0,1.1,0.48,0.509
short,200,無,60,150,167,0.527,2.75,459.0,-550.0,1.05,0.24,0.377
short,200,無,60,200,167,0.497,3.96,661.0,-550.0,1.06,0.31,0.281
short,200,無,60,250,167,0.491,8.51,1421.0,-550.0,1.13,0.62,0.222
short,200,無,70,100,176,0.614,6.51,1146.0,-560.0,1.14,0.7,0.517
short,200,無,70,150,176,0.54,6.63,1167.0,-560.0,1.11,0.59,0.392
short,200,無,70,200,176,0.511,10.11,1779.0,-560.0,1.16,0.8,0.301
short,200,無,70,250,176,0.494,13.26,2333.0,-560.0,1.2,0.98,0.244
short,200,無,80,100,178,0.596,2.52,448.0,-570.0,1.05,0.27,0.5
short,200,無,80,150,178,0.534,5.12,911.0,-570.0,1.09,0.45,0.393
short,200,無,80,200,178,0.506,8.3,1477.0,-570.0,1.13,0.66,0.303
short,200,無,80,250,178,0.489,13.03,2319.0,-570.0,1.2,0.97,0.247
short,200,無,90,100,183,0.596,3.27,599.0,-580.0,1.07,0.35,0.503
short,200,無,90,150,183,0.536,4.66,852.0,-580.0,1.08,0.41,0.393
short,200,無,90,200,183,0.508,9.37,1715.0,-580.0,1.15,0.76,0.301
short,200,無,90,250,183,0.492,11.11,2033.0,-580.0,1.17,0.84,0.235
short,200,無,100,100,188,0.606,4.49,845.0,-590.0,1.09,0.5,0.505
short,200,無,100,150,188,0.543,4.33,814.0,-590.0,1.07,0.39,0.394
short,200,無,100,200,188,0.521,10.75,2021.0,-590.0,1.17,0.89,0.303
short,200,無,100,250,188,0.5,11.09,2085.0,-590.0,1.17,0.86,0.229
short,200,無,110,100,193,0.622,5.59,1079.0,-600.0,1.12,0.63,0.503
short,200,無,110,150,193,0.549,3.16,609.0,-600.0,1.05,0.29,0.394
short,200,無,110,200,193,0.523,10.46,2018.0,-600.0,1.17,0.87,0.301
short,200,無,110,250,193,0.503,10.87,2097.0,-600.0,1.17,0.85,0.228
short,200,無,120,100,196,0.617,6.28,1231.0,-610.0,1.13,0.71,0.51
short,200,無,120,150,196,0.541,2.45,481.0,-610.0,1.04,0.22,0.383
short,200,無,120,200,196,0.505,6.45,1265.0,-610.0,1.1,0.54,0.286
short,200,無,120,250,196,0.495,8.17,1601.0,-610.0,1.12,0.65,0.214
short,200,無,130,100,201,0.627,8.54,1716.0,-613.0,1.18,0.97,0.527
short,200,無,130,150,201,0.547,3.99,801.0,-613.0,1.06,0.37,0.393
short,200,無,130,200,201,0.512,9.18,1845.0,-613.0,1.14,0.78,0.303
short,200,無,130,250,201,0.502,9.21,1852.0,-613.0,1.14,0.74,0.214
short,200,無,140,100,203,0.626,7.96,1615.0,-613.0,1.17,0.9,0.527
