side,c_min,filt,k,tgt,ex,n,winrate,avg,total,max_loss,pf,avg_h1,avg_h2
short,100,無,10,50,12:00,72,0.764,3.99,287.0,-474.0,1.12,-16.1,29.1
short,100,無,10,50,12:30,72,0.778,3.04,219.0,-288.0,1.09,-21.0,33.2
short,100,無,10,50,13:00,72,0.792,1.56,112.0,-297.0,1.04,-23.0,32.2
short,100,無,10,50,13:10,72,0.778,0.81,58.0,-372.0,1.02,-25.0,33.1
short,100,無,10,50,13:20,72,0.778,4.62,333.0,-336.0,1.14,-16.1,30.6
short,100,無,10,50,13:30,72,0.778,2.22,160.0,-435.0,1.06,-19.1,28.9
short,100,無,10,50,13:44,72,0.792,8.21,591.0,-268.0,1.28,-19.7,43.1
short,100,無,10,75,12:00,72,0.694,0.31,22.0,-474.0,1.01,-6.8,9.2
short,100,無,10,75,12:30,72,0.708,-3.18,-229.0,-529.0,0.94,-9.4,4.5
short,100,無,10,75,13:00,72,0.722,-6.72,-484.0,-514.0,0.89,-11.6,-0.6
short,100,無,10,75,13:10,72,0.708,-9.04,-651.0,-532.0,0.85,-15.2,-1.3
short,100,無,10,75,13:20,72,0.708,-1.86,-134.0,-500.0,0.97,-5.1,2.2
short,100,無,10,75,13:30,72,0.708,-3.85,-277.0,-506.0,0.93,-8.5,2.0
short,100,無,10,75,13:44,72,0.722,0.03,2.0,-505.0,1.0,-9.6,12.1
short,100,無,10,100,12:00,72,0.681,11.69,842.0,-474.0,1.24,-2.0,28.8
short,100,無,10,100,12:30,72,0.694,10.78,776.0,-529.0,1.2,-0.5,24.8
short,100,無,10,100,13:00,72,0.708,6.46,465.0,-514.0,1.11,-4.2,19.7
short,100,無,10,100,13:10,72,0.694,3.92,282.0,-532.0,1.06,-8.2,19.0
short,100,無,10,100,13:20,72,0.694,10.07,725.0,-500.0,1.18,0.2,22.5
short,100,無,10,100,13:30,72,0.694,8.15,587.0,-506.0,1.14,-3.2,22.3
short,100,無,10,100,13:44,72,0.681,10.21,735.0,-505.0,1.18,-3.5,27.3
short,100,無,10,150,12:00,72,0.583,2.44,176.0,-474.0,1.04,-12.1,20.7
short,100,無,10,150,12:30,72,0.611,9.03,650.0,-529.0,1.14,-5.4,27.1
short,100,無,10,150,13:00,72,0.597,2.82,203.0,-514.0,1.04,-9.7,18.5
short,100,無,10,150,13:10,72,0.569,-3.61,-260.0,-532.0,0.96,-12.9,8.0
short,100,無,10,150,13:20,72,0.569,4.64,334.0,-500.0,1.06,-6.7,18.8
short,100,無,10,150,13:30,72,0.611,9.65,695.0,-506.0,1.14,-9.0,32.9
short,100,無,10,150,13:44,72,0.611,12.94,932.0,-505.0,1.19,-10.6,42.3
short,100,無,10,200,12:00,72,0.583,16.28,1172.0,-474.0,1.25,-1.0,37.9
short,100,無,10,200,12:30,72,0.611,25.03,1802.0,-529.0,1.38,7.8,46.5
short,100,無,10,200,13:00,72,0.569,11.68,841.0,-514.0,1.15,1.1,24.9
short,100,無,10,200,13:10,72,0.556,6.54,471.0,-532.0,1.08,0.7,13.8
short,100,無,10,200,13:20,72,0.542,16.11,1160.0,-500.0,1.21,7.0,27.6
short,100,無,10,200,13:30,72,0.597,20.5,1476.0,-506.0,1.29,3.8,41.4
short,100,無,10,200,13:44,72,0.569,21.99,1583.0,-505.0,1.31,2.0,47.0
short,100,無,10,250,12:00,72,0.556,11.88,855.0,-474.0,1.18,-1.2,28.2
short,100,無,10,250,12:30,72,0.569,13.76,991.0,-529.0,1.19,2.8,27.5
short,100,無,10,250,13:00,72,0.528,2.85,205.0,-514.0,1.03,-0.3,6.8
short,100,無,10,250,13:10,72,0.514,-4.26,-307.0,-532.0,0.96,-0.7,-8.7
short,100,無,10,250,13:20,72,0.5,9.74,701.0,-500.0,1.12,9.1,10.6
short,100,無,10,250,13:30,72,0.542,11.57,833.0,-506.0,1.14,1.5,24.2
short,100,無,10,250,13:44,72,0.528,16.72,1204.0,-505.0,1.21,6.9,29.0
short,100,無,20,50,12:00,75,0.787,0.69,52.0,-484.0,1.02,-13.8,19.1
short,100,無,20,50,12:30,75,0.8,0.33,25.0,-429.0,1.01,-17.6,23.2
short,100,無,20,50,13:00,75,0.813,-0.01,-1.0,-415.0,1.0,-19.5,24.8
short,100,無,20,50,13:10,75,0.8,-0.25,-19.0,-390.0,0.99,-21.0,26.2
short,100,無,20,50,13:20,75,0.8,3.04,228.0,-357.0,1.09,-13.3,23.8
short,100,無,20,50,13:30,75,0.8,0.72,54.0,-445.0,1.02,-16.0,21.9
short,100,無,20,50,13:44,75,0.813,5.57,418.0,-450.0,1.17,-15.9,32.9
short,100,無,20,75,12:00,75,0.733,6.37,478.0,-484.0,1.15,-7.8,24.4
short,100,無,20,75,12:30,75,0.747,4.21,316.0,-539.0,1.09,-10.4,22.8
short,100,無,20,75,13:00,75,0.747,-0.11,-8.0,-524.0,1.0,-16.0,20.2
short,100,無,20,75,13:10,75,0.733,-2.28,-171.0,-542.0,0.96,-19.7,19.8
short,100,無,20,75,13:20,75,0.733,4.2,315.0,-510.0,1.09,-9.7,21.9
short,100,無,20,75,13:30,75,0.733,1.67,125.0,-516.0,1.03,-12.8,20.1
short,100,無,20,75,13:44,75,0.747,7.35,551.0,-515.0,1.16,-12.6,32.7
short,100,無,20,100,12:00,75,0.707,15.2,1140.0,-484.0,1.34,-5.3,41.3
short,100,無,20,100,12:30,75,0.72,16.07,1205.0,-539.0,1.32,-1.6,38.6
short,100,無,20,100,13:00,75,0.733,12.77,958.0,-524.0,1.23,-3.9,34.0
short,100,無,20,100,13:10,75,0.72,10.29,772.0,-542.0,1.18,-8.2,33.8
short,100,無,20,100,13:20,75,0.72,16.16,1212.0,-510.0,1.32,-0.1,36.8
short,100,無,20,100,13:30,75,0.72,14.39,1079.0,-516.0,1.27,-2.9,36.4
short,100,無,20,100,13:44,75,0.707,17.05,1279.0,-515.0,1.34,-3.2,42.8
short,100,無,20,150,12:00,75,0.6,-0.15,-11.0,-484.0,1.0,-14.9,18.6
short,100,無,20,150,12:30,75,0.627,7.75,581.0,-539.0,1.12,-6.5,25.9
short,100,無,20,150,13:00,75,0.587,-2.15,-161.0,-524.0,0.97,-9.5,7.2
short,100,無,20,150,13:10,75,0.573,-9.08,-681.0,-542.0,0.89,-13.0,-4.0
short,100,無,20,150,13:20,75,0.573,-0.09,-7.0,-510.0,1.0,-6.9,8.6
short,100,無,20,150,13:30,75,0.613,3.35,251.0,-516.0,1.05,-8.7,18.7
short,100,無,20,150,13:44,75,0.6,5.16,387.0,-515.0,1.07,-10.3,24.8
short,100,無,20,200,12:00,75,0.6,12.88,966.0,-484.0,1.2,-6.8,38.0
short,100,無,20,200,12:30,75,0.627,21.07,1580.0,-539.0,1.32,1.0,46.6
short,100,無,20,200,13:00,75,0.587,9.16,687.0,-524.0,1.12,-3.8,25.6
short,100,無,20,200,13:10,75,0.573,4.33,325.0,-542.0,1.05,-4.0,14.9
short,100,無,20,200,13:20,75,0.56,14.16,1062.0,-510.0,1.19,3.5,27.7
short,100,無,20,200,13:30,75,0.613,18.41,1381.0,-516.0,1.26,-0.1,42.0
short,100,無,20,200,13:44,75,0.587,20.77,1558.0,-515.0,1.29,-0.4,47.7
short,100,無,20,250,12:00,75,0.573,9.37,703.0,-484.0,1.14,-5.7,28.5
short,100,無,20,250,12:30,75,0.587,12.31,923.0,-539.0,1.17,-0.2,28.2
short,100,無,20,250,13:00,75,0.547,3.19,239.0,-524.0,1.04,-1.1,8.6
short,100,無,20,250,13:10,75,0.533,-4.52,-339.0,-542.0,0.95,-3.1,-6.3
short,100,無,20,250,13:20,75,0.52,8.28,621.0,-510.0,1.1,5.1,12.3
short,100,無,20,250,13:30,75,0.56,10.09,757.0,-516.0,1.12,-2.3,25.8
short,100,無,20,250,13:44,75,0.547,14.67,1100.0,-515.0,1.18,2.0,30.8
short,100,無,30,50,12:00,77,0.766,-2.66,-205.0,-494.0,0.93,-16.1,14.3
short,100,無,30,50,12:30,77,0.792,-2.13,-164.0,-439.0,0.95,-18.5,18.6
short,100,無,30,50,13:00,77,0.805,-4.01,-309.0,-425.0,0.9,-19.5,15.6
short,100,無,30,50,13:10,77,0.792,-4.75,-366.0,-400.0,0.89,-21.0,15.8
short,100,無,30,50,13:20,77,0.792,-0.05,-4.0,-367.0,1.0,-13.5,16.9
short,100,無,30,50,13:30,77,0.792,-2.22,-171.0,-455.0,0.94,-16.1,15.3
short,100,無,30,50,13:44,77,0.805,3.0,231.0,-460.0,1.08,-16.0,27.1
short,100,無,30,75,12:00,77,0.727,4.53,349.0,-494.0,1.1,-12.5,26.0
short,100,無,30,75,12:30,77,0.714,1.68,129.0,-549.0,1.03,-15.2,23.1
short,100,無,30,75,13:00,77,0.727,-1.75,-135.0,-534.0,0.97,-19.4,20.6
short,100,無,30,75,13:10,77,0.727,-4.01,-309.0,-552.0,0.93,-23.2,20.2
short,100,無,30,75,13:20,77,0.727,2.05,158.0,-520.0,1.04,-13.9,22.3
short,100,無,30,75,13:30,77,0.714,-0.84,-65.0,-526.0,0.98,-17.7,20.5
short,100,無,30,75,13:44,77,0.714,1.94,149.0,-525.0,1.04,-18.4,27.6
short,100,無,30,100,12:00,77,0.701,13.3,1024.0,-494.0,1.29,-8.9,41.4
short,100,無,30,100,12:30,77,0.714,15.88,1223.0,-549.0,1.32,-5.4,42.9
short,100,無,30,100,13:00,77,0.714,12.27,945.0,-534.0,1.23,-8.8,38.9
short,100,無,30,100,13:10,77,0.701,8.49,654.0,-552.0,1.15,-12.7,35.4
short,100,無,30,100,13:20,77,0.714,14.83,1142.0,-520.0,1.29,-4.6,39.4
short,100,無,30,100,13:30,77,0.701,12.69,977.0,-526.0,1.24,-8.6,39.6
short,100,無,30,100,13:44,77,0.714,16.09,1239.0,-525.0,1.32,-8.8,47.5
short,100,無,30,150,12:00,77,0.61,0.16,12.0,-494.0,1.0,-18.8,24.2
short,100,無,30,150,12:30,77,0.61,6.9,531.0,-549.0,1.11,-11.3,29.9
short,100,無,30,150,13:00,77,0.584,-1.03,-79.0,-534.0,0.99,-14.0,15.4
short,100,無,30,150,13:10,77,0.571,-8.75,-674.0,-552.0,0.89,-18.0,2.9
short,100,無,30,150,13:20,77,0.584,-0.14,-11.0,-520.0,1.0,-11.6,14.3
short,100,無,30,150,13:30,77,0.597,2.88,222.0,-526.0,1.04,-13.9,24.1
short,100,無,30,150,13:44,77,0.597,4.4,339.0,-525.0,1.06,-15.8,30.0
short,100,無,30,200,12:00,77,0.61,13.68,1053.0,-494.0,1.21,-11.3,45.3
