str_min,agree,m,tgt,ex,B,n,n_loss,n_loss100,winrate,avg,total,max_loss,pf,be
0.0,False,10,150,13:20,0,78,28,22,0.641,4.08,318.0,-1672.0,1.05,0.0
0.0,False,10,150,13:20,50,78,52,14,0.333,-16.58,-1293.0,-1672.0,0.74,0.449
0.0,False,10,150,13:20,80,78,47,20,0.397,-21.82,-1702.0,-1672.0,0.72,0.308
0.0,False,10,150,13:20,120,78,31,21,0.603,4.22,329.0,-1672.0,1.05,0.064
0.0,False,10,150,13:30,0,78,28,21,0.641,5.56,434.0,-1457.0,1.07,0.0
0.0,False,10,150,13:30,50,78,52,15,0.333,-15.46,-1206.0,-1457.0,0.75,0.462
0.0,False,10,150,13:30,80,78,46,20,0.41,-19.06,-1487.0,-1457.0,0.75,0.308
0.0,False,10,150,13:30,120,78,31,20,0.603,6.46,504.0,-1457.0,1.08,0.077
0.0,False,10,150,13:44,0,78,27,21,0.654,5.22,407.0,-1507.0,1.06,0.0
0.0,False,10,150,13:44,50,78,52,15,0.333,-18.08,-1410.0,-1507.0,0.72,0.462
0.0,False,10,150,13:44,80,78,46,20,0.41,-21.33,-1664.0,-1507.0,0.73,0.308
0.0,False,10,150,13:44,120,78,31,20,0.603,3.64,284.0,-1507.0,1.04,0.077
0.0,False,10,200,13:20,0,78,31,23,0.603,7.88,615.0,-1672.0,1.09,0.0
0.0,False,10,200,13:20,50,78,55,14,0.295,-11.03,-860.0,-1672.0,0.82,0.487
0.0,False,10,200,13:20,80,78,52,20,0.333,-18.19,-1419.0,-1672.0,0.77,0.372
0.0,False,10,200,13:20,120,78,39,21,0.5,6.37,497.0,-1672.0,1.08,0.167
0.0,False,10,200,13:30,0,78,32,22,0.59,9.53,743.0,-1457.0,1.11,0.0
0.0,False,10,200,13:30,50,78,55,15,0.295,-11.74,-916.0,-1457.0,0.81,0.5
0.0,False,10,200,13:30,80,78,51,20,0.346,-17.27,-1347.0,-1457.0,0.77,0.372
0.0,False,10,200,13:30,120,78,40,20,0.487,6.19,483.0,-1457.0,1.08,0.192
0.0,False,10,200,13:44,0,78,32,23,0.59,8.15,636.0,-1507.0,1.09,0.0
0.0,False,10,200,13:44,50,78,57,15,0.269,-15.51,-1210.0,-1507.0,0.76,0.526
0.0,False,10,200,13:44,80,78,53,20,0.321,-20.05,-1564.0,-1507.0,0.75,0.397
0.0,False,10,200,13:44,120,78,42,20,0.462,2.37,185.0,-1507.0,1.03,0.218
0.0,False,10,250,13:20,0,78,33,24,0.577,13.55,1057.0,-1672.0,1.14,0.0
0.0,False,10,250,13:20,50,78,57,14,0.269,-8.12,-633.0,-1672.0,0.87,0.513
0.0,False,10,250,13:20,80,78,55,20,0.295,-16.56,-1292.0,-1672.0,0.79,0.41
0.0,False,10,250,13:20,120,78,45,21,0.423,3.51,274.0,-1672.0,1.04,0.244
0.0,False,10,250,13:30,0,78,34,23,0.564,13.49,1052.0,-1457.0,1.14,0.0
0.0,False,10,250,13:30,50,78,57,15,0.269,-10.23,-798.0,-1457.0,0.84,0.526
0.0,False,10,250,13:30,80,78,54,20,0.308,-17.04,-1329.0,-1457.0,0.78,0.41
0.0,False,10,250,13:30,120,78,46,20,0.41,1.94,151.0,-1457.0,1.02,0.269
0.0,False,10,250,13:44,0,78,34,25,0.564,8.17,637.0,-1507.0,1.08,0.0
0.0,False,10,250,13:44,50,78,60,15,0.231,-14.97,-1168.0,-1507.0,0.77,0.564
0.0,False,10,250,13:44,80,78,58,20,0.256,-23.36,-1822.0,-1507.0,0.71,0.462
0.0,False,10,250,13:44,120,78,50,20,0.359,-4.78,-373.0,-1507.0,0.94,0.321
0.0,False,10,300,13:20,0,78,35,25,0.551,5.08,396.0,-1672.0,1.05,0.0
0.0,False,10,300,13:20,50,78,60,14,0.231,-14.51,-1132.0,-1672.0,0.77,0.551
0.0,False,10,300,13:20,80,78,58,20,0.256,-23.86,-1861.0,-1672.0,0.69,0.449
0.0,False,10,300,13:20,120,78,50,21,0.359,-9.21,-718.0,-1672.0,0.88,0.308
0.0,False,10,300,13:30,0,78,37,24,0.526,6.26,488.0,-1457.0,1.06,0.0
0.0,False,10,300,13:30,50,78,60,15,0.231,-16.85,-1314.0,-1457.0,0.73,0.564
0.0,False,10,300,13:30,80,78,57,20,0.269,-22.37,-1745.0,-1457.0,0.71,0.449
0.0,False,10,300,13:30,120,78,51,20,0.346,-8.5,-663.0,-1457.0,0.89,0.333
0.0,False,10,300,13:44,0,78,37,27,0.526,-1.17,-91.0,-1507.0,0.99,0.0
0.0,False,10,300,13:44,50,78,63,15,0.192,-21.53,-1679.0,-1507.0,0.67,0.603
0.0,False,10,300,13:44,80,78,61,20,0.218,-28.63,-2233.0,-1507.0,0.65,0.5
0.0,False,10,300,13:44,120,78,55,20,0.295,-14.72,-1148.0,-1507.0,0.82,0.385
0.0,False,20,150,13:20,0,67,17,14,0.746,58.55,3923.0,-456.0,2.39,0.0
0.0,False,20,150,13:20,50,67,38,8,0.433,35.9,2405.0,-363.0,2.5,0.433
0.0,False,20,150,13:20,80,67,28,12,0.582,43.04,2884.0,-456.0,2.16,0.209
0.0,False,20,150,13:20,120,67,21,12,0.687,56.93,3814.0,-456.0,2.54,0.09
0.0,False,20,150,13:30,0,67,18,11,0.731,60.84,4076.0,-409.0,2.44,0.0
0.0,False,20,150,13:30,50,67,39,8,0.418,35.06,2349.0,-409.0,2.36,0.433
0.0,False,20,150,13:30,80,67,28,10,0.582,47.0,3149.0,-409.0,2.33,0.209
0.0,False,20,150,13:30,120,67,22,10,0.672,60.24,4036.0,-409.0,2.7,0.104
0.0,False,20,150,13:44,0,67,16,12,0.761,64.9,4348.0,-347.0,2.57,0.0
0.0,False,20,150,13:44,50,67,38,8,0.433,36.19,2425.0,-318.0,2.42,0.433
0.0,False,20,150,13:44,80,67,27,11,0.597,48.21,3230.0,-347.0,2.35,0.209
0.0,False,20,150,13:44,120,67,21,11,0.687,61.27,4105.0,-347.0,2.7,0.104
0.0,False,20,200,13:20,0,67,22,15,0.672,57.45,3849.0,-456.0,2.17,0.0
0.0,False,20,200,13:20,50,67,44,8,0.343,36.57,2450.0,-363.0,2.52,0.522
0.0,False,20,200,13:20,80,67,35,12,0.478,44.69,2994.0,-456.0,2.2,0.313
