date,cfg,pnl,how
2023-08-14,基線,-6.0,close
2023-08-14,方案A,-26.0,close
2023-08-17,基線,86.0,close
2023-08-17,方案A,66.0,close
2023-08-18,基線,-189.0,close
2023-08-18,方案B,-189.0,close
2023-08-22,基線,-16.0,close
2023-08-22,方案B,-16.0,close
2023-08-23,基線,16.0,close
2023-08-24,基線,-89.0,close
2023-09-04,基線,65.0,close
2023-09-04,方案A,45.0,close
2023-09-04,方案B,65.0,close
2023-09-04,方案C,55.0,close
2023-09-08,基線,20.0,close
2023-09-08,方案A,0.0,close
2023-09-11,基線,-40.0,close
2023-09-11,方案A,-60.0,close
2023-09-12,基線,65.0,close
2023-09-12,方案A,45.0,close
2023-09-13,基線,-43.0,close
2023-09-14,基線,33.0,close
2023-09-21,基線,-10.0,close
2023-09-22,基線,16.0,close
2023-09-25,基線,-5.0,close
2023-09-25,方案A,-25.0,close
2023-10-05,基線,23.0,close
2023-10-05,方案A,3.0,close
2023-10-05,方案B,23.0,close
2023-10-05,方案C,13.0,close
2023-10-12,基線,31.0,close
2023-10-18,基線,35.0,close
2023-10-18,方案B,35.0,close
2023-10-23,基線,32.0,close
2023-10-23,方案A,12.0,close
2023-10-23,方案B,32.0,close
2023-10-23,方案C,22.0,close
2023-10-31,基線,114.0,close
2023-10-31,方案A,94.0,close
2023-10-31,方案B,114.0,close
2023-10-31,方案C,104.0,close
2023-11-01,基線,-44.0,close
2023-11-01,方案A,-64.0,close
2023-11-01,方案B,-44.0,close
2023-11-01,方案C,-54.0,close
2023-11-02,基線,17.0,close
2023-11-02,方案B,17.0,close
2023-11-02,方案C,7.0,close
2023-11-03,基線,-14.0,close
2023-11-06,基線,-42.0,close
2023-11-06,方案A,-62.0,close
2023-11-13,基線,-12.0,close
2023-11-13,方案A,-32.0,close
2023-11-13,方案B,-12.0,close
2023-11-13,方案C,-22.0,close
2023-11-15,基線,-38.0,close
2023-11-15,方案B,-38.0,close
2023-11-15,方案C,-48.0,close
2023-11-16,基線,-73.0,close
2023-11-21,基線,-10.0,close
2023-11-21,方案B,-10.0,close
2023-11-28,基線,56.0,close
2023-11-28,方案A,36.0,close
2023-11-28,方案B,56.0,close
2023-11-28,方案C,46.0,close
2023-12-01,基線,8.0,close
2023-12-01,方案B,8.0,close
2023-12-01,方案C,-2.0,close
2023-12-04,基線,-35.0,close
2023-12-04,方案B,-35.0,close
2023-12-07,基線,9.0,close
2023-12-12,基線,0.0,close
2023-12-26,基線,2.0,close
2023-12-27,基線,14.0,close
2023-12-28,基線,-42.0,close
2024-01-03,基線,10.0,close
2024-01-03,方案A,-10.0,close
2024-01-03,方案B,10.0,close
2024-01-03,方案C,0.0,close
2024-01-05,基線,11.0,close
2024-01-05,方案A,-9.0,close
2024-01-09,基線,45.0,close
2024-01-09,方案A,25.0,close
2024-01-12,基線,-70.0,close
2024-01-17,基線,41.0,close
2024-01-17,方案A,21.0,close
2024-02-16,基線,9.0,close
2024-02-16,方案B,9.0,close
2024-02-22,基線,-113.0,close
2024-02-22,方案A,-133.0,close
2024-02-22,方案B,-113.0,close
2024-02-22,方案C,-123.0,close
2024-02-23,基線,-3.0,close
2024-02-27,基線,148.0,target
2024-02-27,方案A,29.0,close
2024-03-04,基線,-1.0,close
2024-03-04,方案A,-21.0,close
2024-03-04,方案B,-1.0,close
2024-03-04,方案C,-11.0,close
2024-03-06,基線,74.0,close
2024-03-06,方案A,54.0,close
2024-03-06,方案B,74.0,close
2024-03-06,方案C,64.0,close
2024-03-08,基線,148.0,target
2024-03-08,方案A,148.0,target
2024-03-08,方案B,148.0,target
2024-03-08,方案C,148.0,target
2024-03-12,基線,128.0,close
2024-03-12,方案A,108.0,close
2024-03-13,基線,-14.0,close
2024-03-13,方案A,-34.0,close
2024-03-13,方案B,-14.0,close
2024-03-13,方案C,-24.0,close
2024-03-19,基線,20.0,close
2024-03-19,方案A,0.0,close
2024-03-21,基線,119.0,close
2024-03-21,方案A,99.0,close
2024-03-22,基線,-98.0,close
2024-03-22,方案A,-118.0,close
2024-03-22,方案B,-98.0,close
2024-03-22,方案C,-108.0,close
2024-03-26,基線,148.0,target
2024-03-26,方案A,148.0,target
2024-04-01,基線,-7.0,close
2024-04-01,方案A,-27.0,close
2024-04-01,方案B,-7.0,close
2024-04-01,方案C,-17.0,close
2024-04-02,基線,48.0,close
2024-04-02,方案A,28.0,close
2024-04-09,基線,116.0,close
2024-04-09,方案A,96.0,close
2024-04-09,方案B,116.0,close
2024-04-09,方案C,106.0,close
2024-04-16,基線,148.0,target
2024-04-16,方案A,148.0,target
2024-04-16,方案B,148.0,target
2024-04-16,方案C,148.0,target
2024-04-19,基線,148.0,target
2024-04-19,方案A,148.0,target
2024-04-19,方案B,148.0,target
2024-04-19,方案C,148.0,target
2024-04-24,基線,5.0,close
2024-04-24,方案B,5.0,close
2024-04-24,方案C,-5.0,close
2024-05-03,基線,52.0,close
2024-05-03,方案A,32.0,close
2024-05-03,方案B,52.0,close
2024-05-03,方案C,42.0,close
2024-05-06,基線,-111.0,close
2024-05-15,基線,-69.0,close
2024-05-15,方案A,-89.0,close
2024-05-20,基線,-16.0,close
2024-05-20,方案A,-36.0,close
2024-05-22,基線,106.0,close
2024-05-22,方案A,86.0,close
2024-05-24,基線,-16.0,close
2024-05-24,方案A,-36.0,close
2024-05-24,方案B,-16.0,close
2024-05-24,方案C,-26.0,close
2024-05-28,基線,-8.0,close
2024-05-29,基線,33.0,close
2024-06-03,基線,51.0,close
2024-06-03,方案A,31.0,close
