date,dir,pnl,stale,us_date,sox_ret,sox_intra,sox_gap,sox_rng,tsm_ret,tsm_intra,tsm_gap,tsm_rng,yr,oos
2023-08-14,-1,-6.0,3,2023-08-11,-0.022927312052754778,-0.008776902531820507,-0.014275706001078636,0.013947656671355753,-0.029641350210970474,-0.016149732620320933,-0.01371308016877637,0.016139240506329127,2023,2023-25樣本外
2023-08-17,1,86.0,1,2023-08-16,-0.020788078650294306,-0.02035255237333844,-0.00044457450280810384,0.020771196074238232,0.0010907504363000253,0.003718285214348249,-0.002617801047120505,0.015270506108202504,2023,2023-25樣本外
2023-08-18,1,-189.0,1,2023-08-17,-0.00969230592400172,-0.013295961108454879,0.003652214891611605,0.01578124640812857,-0.001525386794508643,-0.01377529057253557,0.012421006755284347,0.017106123338418038,2023,2023-25樣本外
2023-08-22,-1,-16.0,1,2023-08-21,0.02830128741978899,0.02283962852210286,0.005339702085631615,0.026042960199148736,0.016026344676180138,0.022762430939226475,-0.006586169045005419,0.026454445664105344,2023,2023-25樣本外
2023-08-23,1,16.0,1,2023-08-22,-0.009281778506714855,-0.0217925396807791,0.012789476344804873,0.026230502648325937,-0.0034572169403630504,-0.011890733797536135,0.0085350043215211,0.01815038893690571,2023,2023-25樣本外
2023-08-24,-1,-89.0,1,2023-08-23,0.021067610816143167,0.026778256990311,-0.00556171318908405,0.030342802230354696,0.021465741543798877,0.0045847105235099495,0.01680398959236795,0.02016478751084128,2023,2023-25樣本外
2023-09-04,1,65.0,3,2023-09-01,0.003244409454824959,-0.003218097127530295,0.006483370698978197,0.012882294132549509,-0.004061130704285487,-0.011770943796394429,0.00780164582665388,0.01592390723522491,2023,2023-25樣本外
2023-09-08,1,20.0,1,2023-09-07,-0.01979772661350787,0.0033977781388130346,-0.02311695845624251,0.015121249103834826,-0.02395404292217651,-0.0002220495170422998,-0.023737264253197665,0.02016041621504443,2023,2023-25樣本外
2023-09-11,-1,-40.0,3,2023-09-08,-0.004500140978362044,-0.0027462309239025817,-0.0017587399605261123,0.01374608819941326,-0.0045530260966129,-0.012231404958677694,0.007773459189339249,0.01943364797334814,2023,2023-25樣本外
2023-09-12,1,65.0,1,2023-09-11,0.0009085835910924711,-0.010095323147411128,0.011116127639168916,0.024091486515666016,-0.00044622936189209206,-0.005549389567147567,0.0051316376617580595,0.013721552878179428,2023,2023-25樣本外
2023-09-13,-1,-43.0,1,2023-09-12,-0.007884053423287352,0.0004350835558193378,-0.008315519033517016,0.01768448656993255,0.009821428571428648,0.00022109219544552694,0.00959821428571428,0.012834821428571334,2023,2023-25樣本外
